scorer,,,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v813a-20220131T213604_cropped,img0040.png,220.7720228263805,890.5488434183993,232.35899958045732,872.9686028260069,190.8057036348025,873.7677046711157,210.7832497625212,857.3861168463864,248.34103648263223,803.446742301546,172.82591211985573,779.873237870838,218.37471729105428,749.5073677567057
labeled-data,e3v813a-20220131T213604_cropped,img0073.png,230.84726898135477,965.6075208072494,241.3602453169088,948.9902356316964,208.1256749658026,943.2250550605861,228.13424283024403,933.7294635316986,257.9775304924618,861.495142258376,186.0823374880281,859.7995009139318,226.77772975468872,820.4606217228265
labeled-data,e3v813a-20220131T213604_cropped,img0212.png,290.725374788773,692.4727551404998,274.5096382903871,717.6972341379891,317.75160228608297,706.43630601411,295.6801831632798,725.354665262227,262.79827304155276,787.5149885060398,341.62476990870675,780.7584316317123,303.7880514124728,822.6490842525427
labeled-data,e3v813a-20220131T213604_cropped,img0480.png,189.15390358073782,739.3099235695198,234.0751122556599,743.5881339195124,225.09087052067548,690.1105045446052,242.63153295564504,708.078988014574,293.970057155556,707.6511669795747,283.7023523155738,647.7562220796787,312.7941826955233,705.0842407695792
labeled-data,e3v813a-20220131T213604_cropped,img0924.png,672.5286028000486,266.28155028275467,701.0899339527205,298.2030380416233,719.906810947422,254.52100216106626,718.5627483049433,277.70608274382346,745.4440011545169,335.5007763704066,784.4218177863985,268.2976442464727,806.9348670479164,344.9092148677573
labeled-data,e3v813a-20220131T213604_cropped,img1775.png,585.7741001897516,233.3027770990319,547.6251221873985,201.67499191759384,530.3439612119736,251.5621169975941,524.8009473141958,212.4349600721037,483.06531326033934,172.32962422347606,473.93564331105824,246.99728202295356,431.5478899751103,232.65065781694042
labeled-data,e3v813a-20220131T213604_cropped,img2281.png,745.7566823942602,197.06274673331453,695.921826417023,176.91674112549524,700.1630907555112,226.3981584078584,683.9049107913062,201.65744976667682,638.3113191525573,179.39081198961338,648.2076026090299,253.61293791315816,598.3727466317928,230.28598405147267
labeled-data,e3v813a-20220131T213604_cropped,img2452.png,915.8309631875861,668.8353979491496,918.1717284980227,646.9882550517426,886.1812692553909,675.857693880459,889.3022896693062,649.7191479139185,869.4057845305963,572.8640202212545,810.8866517696846,619.6793264299838,811.276779321424,561.9404487725509
labeled-data,e3v813a-20220131T213604_cropped,img2847.png,852.4036291018815,691.9812698122745,875.7396645880524,731.2541100207086,900.7832148658945,697.1038141872876,896.5144278867168,721.0090212706823,910.1745462200852,771.66529342359,958.5541319840981,717.8785774859521,938.0639544840456,784.7562401597347
labeled-data,e3v813a-20220131T213604_cropped,img2901.png,695.8093454246118,654.0866918192368,730.1104151910722,687.7017401903679,743.8308430976564,644.4823922846278,746.9179393766378,670.2081946094731,790.4802979800425,715.4856067012007,809.6888970492602,641.0522853079818,836.7867421647638,689.0737829810263
labeled-data,e3v813a-20220131T213604_cropped,img3111.png,631.1195691531818,694.1802612787376,672.8751152461862,725.2069517784005,678.9644657180826,677.3620552134998,685.92372340025,701.7194571010856,719.5601355307256,747.5345701753541,740.1479395071374,664.3134470594359,766.2451558152651,712.4483126944269
labeled-data,e3v813a-20220131T213604_cropped,img3214.png,648.9619008097179,772.1505593270773,673.0480366127599,770.4543525803842,637.427694932205,742.2973205852788,661.5138307352469,746.0289754280037,732.0760313976796,738.5656657425541,693.7417589224156,663.2540861893808,749.0380988646104,680.2161536563117
labeled-data,e3v813a-20220131T213604_cropped,img3597.png,587.0936992341577,917.0065401077011,625.7144421821964,896.4560530344327,587.0936992341577,864.5673661966026,615.4391986455623,867.7562348803856,678.8622535785801,853.5834851746833,630.6749045791922,799.372717550372,687.7202221446439,792.2863426975209
labeled-data,e3v813a-20220131T213604_cropped,img4043.png,470.74944296055673,889.3405221139108,515.5963331312619,894.8026433526504,505.5345308493729,851.3931535079294,522.208374630789,869.5043976153296,559.5807831063767,904.2894855041458,555.2685821284242,830.9820688789546,594.078390929996,874.3915587236756
labeled-data,e3v813a-20220131T213604_cropped,img4483.png,472.691637183747,845.6585692001834,507.36471985235664,884.7048334666357,522.3584853306744,835.3503554338399,520.171894531753,859.0904841078429,550.1594254883885,908.4449621406387,567.652151879759,834.1008749773134,588.5809495265776,874.0842495861606
