scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v813a-20220131T213604_cropped,img0774.png,638.44,722.415,1.0,608.127,728.859,1.0,641.209,764.34,1.0,607.046,757.668,1.0,534.278,774.4,1.0,584.75,822.953,1.0,535.833,828.762,1.0
labeled-data,e3v813a-20220131T213604_cropped,img5195.png,734.3,571.807,1.0,707.259,594.625,1.0,748.822,617.448,1.0,716.217,624.153,1.0,651.949,653.08,1.0,705.972,692.759,1.0,662.223,710.91,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1493.png,550.157,185.765,1.0,516.155,168.095,1.0,530.506,214.545,1.0,509.249,194.806,1.0,443.842,189.283,0.9599999785423279,473.215,251.628,1.0,429.397,247.256,1.0
labeled-data,e3v813a-20220131T213604_cropped,img7170.png,938.846,386.363,1.0,915.158,425.819,1.0,965.096,440.111,1.0,930.77,449.893,1.0,873.89,446.099,1.0,898.141,499.65,0.9990000128746033,853.336,483.307,1.0
labeled-data,e3v813a-20220131T213604_cropped,img3587.png,603.426,950.433,1.0,645.228,921.27,1.0,604.71,893.854,1.0,631.441,890.784,1.0,667.959,853.929,0.9929999709129333,614.043,816.271,1.0,678.165,808.155,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1159.png,278.524,138.249,1.0,235.402,163.086,1.0,283.125,189.032,1.0,252.489,190.934,1.0,221.873,228.892,0.9980000257492065,281.865,220.414,0.9309999942779541,265.346,260.799,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2349.png,830.65,421.796,1.0,840.018,387.83,1.0,792.871,401.082,1.0,808.542,376.238,1.0,813.969,308.551,1.0,752.073,340.662,1.0,744.14,289.114,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0685.png,284.206,886.392,1.0,277.205,844.392,1.0,236.081,857.745,1.0,251.791,831.574,1.0,267.006,774.22,1.0,198.74,776.386,1.0,239.631,730.131,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0266.png,364.805,677.049,1.0,320.439,694.632,1.0,360.019,726.473,1.0,323.569,717.48,1.0,273.59,726.127,1.0,306.035,785.188,1.0,276.713,771.577,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0180.png,326.827,772.674,1.0,280.183,795.09,1.0,319.305,826.294,1.0,288.927,823.512,1.0,239.79,832.614,1.0,291.448,884.732,1.0,248.579,881.991,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2179.png,682.373,199.274,1.0,644.973,186.638,1.0,652.821,237.838,1.0,630.416,213.565,1.0,563.495,191.039,0.9990000128746033,571.058,251.546,1.0,523.483,243.589,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0507.png,212.833,794.579,1.0,256.896,775.252,1.0,223.198,739.902,1.0,250.169,744.001,1.0,304.824,736.65,1.0,266.444,682.261,1.0,328.458,728.983,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2353.png,845.441,442.313,1.0,848.511,409.582,1.0,806.972,429.084,1.0,820.869,397.99,1.0,820.446,329.762,1.0,753.053,357.444,1.0,760.491,304.792,1.0
labeled-data,e3v813a-20220131T213604_cropped,img7058.png,875.526,408.848,0.9869999885559082,894.912,465.302,1.0,933.239,429.382,1.0,922.529,455.891,1.0,858.565,473.88,0.8270000219345093,924.563,492.116,0.9750000238418579,843.462,487.879,0.9990000128746033
labeled-data,e3v813a-20220131T213604_cropped,img0329.png,239.38,630.436,1.0,255.574,671.261,1.0,286.358,645.49,1.0,283.786,669.102,1.0,268.316,733.164,1.0,339.311,742.103,1.0,292.091,763.935,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1005.png,255.289,149.263,1.0,282.906,165.312,1.0,287.152,119.909,1.0,303.302,146.028,1.0,375.926,187.459,0.9990000128746033,360.953,114.235,1.0,413.955,150.81,1.0
labeled-data,e3v813a-20220131T213604_cropped,img5187.png,700.069,625.403,1.0,667.676,635.582,1.0,707.911,669.19,1.0,671.672,667.114,1.0,604.804,692.022,1.0,655.723,740.409,1.0,616.918,751.714,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0926.png,651.326,262.994,1.0,678.557,292.736,1.0,695.995,248.818,1.0,700.426,273.032,1.0,721.969,322.326,1.0,760.715,257.576,1.0,792.395,322.628,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0791.png,812.567,583.424,1.0,775.586,584.559,1.0,801.035,622.681,1.0,774.884,611.799,1.0,692.929,636.695,1.0,753.174,675.258,0.9990000128746033,701.947,686.37,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2419.png,864.45,635.067,1.0,883.208,601.431,1.0,837.447,607.483,1.0,857.704,586.538,1.0,885.486,533.066,1.0,812.411,532.547,1.0,832.692,486.702,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0756.png,536.396,821.919,1.0,493.354,812.442,1.0,506.692,856.297,1.0,481.498,837.157,1.0,424.426,816.33,0.9599999785423279,425.157,884.012,1.0,378.4,860.696,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2575.png,894.85,714.476,1.0,896.244,684.331,1.0,859.094,700.271,1.0,873.533,672.834,1.0,891.565,619.482,1.0,814.597,633.415,1.0,811.645,581.931,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2927.png,711.831,668.281,1.0,744.593,702.474,1.0,752.606,657.433,1.0,763.693,679.667,1.0,785.136,723.24,1.0,810.514,651.234,1.0,823.86,709.774,1.0
labeled-data,e3v813a-20220131T213604_cropped,img2716.png,988.21,693.177,1.0,961.594,704.615,1.0,978.793,745.295,1.0,955.631,733.136,1.0,883.922,732.886,1.0,905.541,786.555,1.0,859.351,772.319,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1184.png,428.072,244.196,1.0,392.896,215.383,1.0,376.907,261.99,1.0,367.512,230.852,1.0,314.56,182.113,1.0,297.575,250.356,1.0,269.941,219.188,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0008.png,240.257,698.441,1.0,237.94,673.878,1.0,199.665,683.676,1.0,215.545,660.818,1.0,241.552,605.483,1.0,158.632,608.609,1.0,189.633,563.235,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0086.png,235.644,986.033,0.9800000190734863,241.313,971.879,1.0,211.231,969.271,0.9990000128746033,229.551,953.319,1.0,259.599,898.476,1.0,175.792,898.004,1.0,216.203,844.927,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1009.png,206.268,151.72,1.0,235.89,171.502,1.0,239.998,122.721,1.0,254.558,150.608,1.0,322.565,184.113,1.0,315.51,111.681,1.0,364.555,152.4,1.0
labeled-data,e3v813a-20220131T213604_cropped,img0788.png,768.756,610.464,1.0,738.378,613.901,1.0,766.848,650.175,1.0,738.147,641.491,1.0,676.423,653.997,1.0,696.655,714.739,1.0,663.534,709.164,1.0
labeled-data,e3v813a-20220131T213604_cropped,img1207.png,511.561,213.355,1.0,474.398,199.783,1.0,477.371,242.376,1.0,463.195,222.501,1.0,392.558,194.177,1.0,389.904,264.246,1.0,344.27,232.795,1.0
