scorer,,,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v813a-20220208T014730-021626_cropped,img0491.png,364.94420801186135,270.6073281897807,342.9788583509514,245.8963098212571,331.99618352049646,303.55535268114556,319.64067433623467,265.1159907745532,288.06548419867664,228.04946322176772,278.4556437220286,303.55535268114556,246.88045358447056,274.72583125120127
labeled-data,e3v813a-20220208T014730-021626_cropped,img0877.png,358.080036242827,284.33567172784944,333.3690178743033,247.26914417506396,316.89500562862094,298.0640152659181,307.2851651519729,265.1159907745532,296.30249032151784,222.55812580654026,277.0828093682217,298.0640152659181,245.5076192306637,271.98016254358754
labeled-data,e3v813a-20220208T014730-021626_cropped,img1312.png,,,230.8705348127283,318.76734941380516,220.5274430062264,286.62988558646003,237.51966525976522,297.3423735289084,251.18732228978556,344.9944750660064,307.70493108959937,282.9359242269951,276.67565567009376,350.5354171052038
labeled-data,e3v813a-20220208T014730-021626_cropped,img1668.png,344.93594829164556,394.96359501908717,375.7842949915039,398.1185395679363,346.6886952632284,374.9822795430425,368.7733071051725,374.9822795430425,417.14912352085946,318.5438270580743,336.87331222236435,331.5141546477875,349.8436398120775,290.8504249070651
labeled-data,e3v813a-20220208T014730-021626_cropped,img1898.png,760.32050190824,160.78057988523108,741.1008209549436,126.45972104005943,739.7279866011368,180.0002608385273,723.2539743554544,149.79790505477615,672.4591032646001,120.96838362483186,665.5949314955658,188.2372669613685,617.5457291123255,164.8990829466518
labeled-data,e3v813a-20220208T014730-021626_cropped,img2078.png,,,819.3523791219352,326.8935366958624,767.1846736772743,322.7750336344418,789.1500233381842,304.92818703495243,812.4882073529009,247.26914417506396,742.4736553087505,265.1159907745532,747.964992723978,221.1852914527334
labeled-data,e3v813a-20220208T014730-021626_cropped,img2187.png,856.4189066747208,410.63643227808143,877.0114219818238,387.2982482633646,819.3523791219352,412.0092666318883,844.063397490459,385.92541390955773,845.4362318442659,328.26637104966926,774.0488454463086,366.7057329562616,761.6933362620468,320.02936492682807
labeled-data,e3v813a-20220208T014730-021626_cropped,img2490.png,1000.5665138244422,278.844334312622,967.6184893330772,271.98016254358754,999.1936794706353,304.92818703495243,975.8554954559183,300.80968397353183,931.9247961340986,328.26637104966926,999.1936794706353,358.4687268334204,948.398808379781,385.92541390955773
labeled-data,e3v813a-20220208T014730-021626_cropped,img2522.png,900.3496059965405,271.98016254358754,915.4507838884163,293.9455122044975,941.5346366107467,260.9974877131326,941.5346366107467,288.45417478927004,947.0259740259742,341.9947145877379,1006.0578512396696,318.6565305730212,979.9739985173389,377.68840778671654
labeled-data,e3v813a-20220208T014730-021626_cropped,img2812.png,816.6067104143215,188.2372669613685,848.1819005518796,212.9482853298922,852.3004036133002,160.78057988523108,860.5374097361414,184.1187638999479,870.1472502127895,232.16796628318832,904.4681090579611,173.13608906949298,908.5866121193817,226.67662886796086
labeled-data,e3v813a-20220208T014730-021626_cropped,img3033.png,1006.0578512396696,107.2400400867632,973.1098267483046,111.3585431481838,999.1936794706353,140.1880645781281,967.6184893330772,141.56089893193496,905.840943411768,141.56089893193496,953.8901457950085,188.2372669613685,898.9767716427336,197.84710743801656
labeled-data,e3v813a-20220208T014730-021626_cropped,img3938.png,1012.8345420880803,283.0285371153646,992.5969109258688,252.5005850232149,981.2775579029369,272.0521947900973,975.7893867403031,243.92531758159984,966.5280979033589,180.46833851364823,925.3668141836065,231.91994316333873,904.1001509284011,188.3575845599341
labeled-data,e3v813a-20220208T014730-021626_cropped,img4054.png,815.2338760605146,204.711279207051,856.4189066747208,204.711279207051,828.9622195985833,158.03491117761735,852.3004036133002,174.50892342329985,886.6212624584718,195.10143873040283,882.5027593970512,138.81523022432123,920.9421213036437,188.2372669613685
labeled-data,e3v813a-20220208T014730-021626_cropped,img4366.png,521.4473243458444,412.0092666318883,548.904011421982,395.5352543862059,506.34614645396897,377.68840778671654,535.1756678839131,365.33289860245475,573.6150297905056,351.604555064386,529.6843304686856,310.4195244501799,577.7335328519262,307.67385574256616
labeled-data,e3v813a-20220208T014730-021626_cropped,img4807.png,,,449.5027632440484,383.40975083679575,451.30451174386906,335.212978466593,461.66456561783787,357.7348347143513,515.7170206124578,392.86893046085424,524.725763111561,316.29461921847604,564.8146672325709,365.3922658385891
