scorer,,,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v813a-20220209T162158-165048_cropped,img0052.png,953.8901457950085,425.73761016995695,963.4999862716566,374.9427390791028,925.0606243650643,395.5352543862059,929.1791274264849,368.0785673100685,898.9767716427336,271.98016254358754,833.0807226600039,313.1651931577936,824.8437165371627,256.878984651712
labeled-data,e3v813a-20220209T162158-165048_cropped,img0734.png,879.7570906894375,756.5906894374125,896.2311029351199,725.0154992998546,853.6732379671071,729.1340023612752,864.655912797562,703.0501496389447,872.8929189204032,620.6800884105324,794.6413607534116,611.0702479338844,805.6240355838665,575.3765547349058
labeled-data,e3v813a-20220209T162158-165048_cropped,img1543.png,890.7397655198924,922.7036462480438,898.9767716427336,892.5012904642927,863.2830784437551,911.7209714175889,872.8929189204032,882.8914499876446,882.5027593970512,837.5879163120179,819.3523791219352,865.0446033881553,822.0980478295489,815.622566651108
labeled-data,e3v813a-20220209T162158-165048_cropped,img1754.png,780.913017215343,863.6717690343485,745.2193240163642,882.8914499876446,785.0315202767636,906.2296340023613,756.2019988468194,903.4839652947476,708.1527964635789,896.6197935257132,737.379966056267,966.6764195307971,698.7904341877681,944.7333523898859
labeled-data,e3v813a-20220209T162158-165048_cropped,img1984.png,797.3870294610253,915.8394744790095,835.8263913676178,935.0591554323056,834.453557013811,892.5012904642927,852.3004036133002,915.8394744790095,883.8755937508581,954.2788363856018,909.9594464731886,878.772946926224,938.788967903133,940.5504928475332
labeled-data,e3v813a-20220209T162158-165048_cropped,img4078.png,749.3378270777848,180.0002608385273,780.913017215343,201.96561049943728,787.7771889843773,159.4077455314242,800.1326981686391,188.2372669613685,855.0460723209139,226.67662886796086,838.5720600752315,149.79790505477615,893.4854342275062,192.3557700227891
labeled-data,e3v813a-20220209T162158-165048_cropped,img4340.png,918.19645259603,440.8387880618326,941.5346366107467,395.5352543862059,903.0952747041542,387.2982482633646,923.6877900112574,372.1970703714891,949.7716427335879,304.92818703495243,894.858268581313,293.9455122044975,909.9594464731886,240.40497240602963
labeled-data,e3v813a-20220209T162158-165048_cropped,img4929.png,877.0114219818238,333.7577084648967,920.9421213036437,318.6565305730212,896.2311029351199,295.31834655830437,919.5692869498369,295.31834655830437,979.9739985173389,271.98016254358754,914.0779495346094,228.04946322176772,951.1444770873948,208.8297822684716
labeled-data,e3v813a-20220209T162158-165048_cropped,img5273.png,881.1299250432444,204.711279207051,914.0779495346094,221.1852914527334,903.0952747041542,178.62742648472044,929.1791274264849,195.10143873040283,967.6184893330772,233.5408006369952,952.5173114412016,158.03491117761735,1007.4306855934765,189.61010131517537
labeled-data,e3v813a-20220209T162158-165048_cropped,img5714.png,115.08835561901111,959.7701738008293,163.13755800225152,959.7701738008293,149.40921446418275,917.2123088328163,171.37456412509272,929.5678180170781,231.77927569259504,917.2123088328163,178.23873589412705,874.6544438648034,219.42376650833313,849.9434254962797
labeled-data,e3v813a-20220209T162158-165048_cropped,img6276.png,857.7917410285277,410.63643227808143,824.8437165371627,414.754935339502,864.655912797562,439.4659537080257,842.6905631366521,439.4659537080257,776.7945141539224,479.27814996842494,837.1992257214247,524.5816836440516,796.0141951072185,550.6655363663821
labeled-data,e3v813a-20220209T162158-165048_cropped,img6343.png,992.329507701601,116.84988056341126,953.8901457950085,141.56089893193496,992.329507701601,158.03491117761735,962.1271519178497,169.01758600807239,898.9767716427336,218.43962274511966,970.3641580406909,247.26914417506396,920.9421213036437,276.09866560500814
labeled-data,e3v813a-20220209T162158-165048_cropped,img6502.png,841.3177287828453,247.26914417506396,883.8755937508581,250.0148128826777,871.5200845665963,208.8297822684716,896.2311029351199,218.43962274511966,938.788967903133,259.62465335932575,942.9074709645536,188.2372669613685,975.8554954559183,237.65930369841578
labeled-data,e3v813a-20220209T162158-165048_cropped,img7181.png,937.4161335493261,620.6800884105324,919.5692869498369,648.1367754866699,959.381483210236,661.8651190247385,933.2976304879055,671.4749595013866,883.8755937508581,727.7611680074683,940.1618022569398,763.4548612064469,896.2311029351199,795.030051344005
labeled-data,e3v813a-20220209T162158-165048_cropped,img7265.png,989.583838993987,412.0092666318883,960.7543175640428,425.73761016995695,999.1936794706353,449.0757941846738,967.6184893330772,453.1942972460944,903.0952747041542,501.2434996293348,960.7543175640428,535.5643584745065,915.4507838884163,568.5123829658714
labeled-data,e3v813a-20220209T162158-165048_cropped,img7424.png,909.9594464731886,362.587229894841,948.398808379781,348.85888635677225,904.4681090579611,339.2490458801242,931.9247961340986,324.14786798824866,959.381483210236,270.6073281897807,883.8755937508581,266.4888251283601,890.7397655198924,217.0667883913128
labeled-data,e3v813a-20220209T162158-165048_cropped,img7744.png,915.4507838884163,468.2954751379699,942.9074709645536,421.61910710853635,900.3496059965405,414.754935339502,925.0606243650643,391.4167513247852,973.1098267483046,336.50337717251045,896.2311029351199,317.2836962192142,942.9074709645536,271.98016254358754
labeled-data,e3v813a-20220209T162158-165048_cropped,img7871.png,904.4681090579611,348.85888635677225,947.0259740259742,322.7750336344418,898.9767716427336,303.55535268114556,930.5519617802918,298.0640152659181,971.7369923944977,276.09866560500814,916.8236182422231,248.64197852887082,948.398808379781,221.1852914527334
labeled-data,e3v813a-20220209T162158-165048_cropped,img8591.png,771.3031767386949,731.8796710688889,757.5748332006262,766.2005299140607,796.0141951072185,771.6918673292881,774.0488454463086,792.2843826363912,754.8291644930123,844.4520880810522,828.9622195985833,818.3682353587217,823.4708821833558,854.0619285577003
labeled-data,e3v813a-20220209T162158-165048_cropped,img8832.png,268.8458032453805,840.3335850196316,249.6261222920843,874.6544438648034,288.06548419867664,877.4001125724171,268.8458032453805,900.7382965871338,237.2706131078225,930.940652370885,312.77650256720034,936.4319897861125,286.6926498448698,980.3626891079323
