scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220309T192017-192534_cropped,img0034.png,944.872,876.926,1.0,960.853,909.812,1.0,979.549,862.489,1.0,984.108,890.195,1.0,1017.228,938.507,0.9990000128746033,1035.616,869.093,0.9990000128746033,1053.788,898.093,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8731.png,944.509,876.835,1.0,972.575,899.455,1.0,977.223,851.157,1.0,991.8,878.946,1.0,1014.321,933.928,1.0,1053.946,868.438,1.0,1060.614,907.626,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8246.png,944.741,880.512,1.0,973.528,902.324,1.0,973.866,855.511,1.0,991.336,878.486,1.0,1016.597,936.243,1.0,1052.858,870.423,1.0,1058.894,909.491,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img3320.png,940.85,884.984,1.0,968.75,912.743,1.0,980.514,861.27,1.0,991.118,888.319,1.0,1015.78,937.277,1.0,1035.568,858.811,1.0,1060.009,906.233,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8055.png,941.222,888.577,1.0,972.721,902.921,1.0,978.18,856.411,1.0,990.412,877.88,1.0,1014.003,931.266,1.0,1037.16,860.88,1.0,1060.116,908.612,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8198.png,944.707,879.706,1.0,972.869,901.659,1.0,977.821,853.775,1.0,992.208,877.622,1.0,1013.153,932.248,1.0,1035.842,858.653,1.0,1059.653,908.064,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img5153.png,949.946,877.378,1.0,969.433,905.571,1.0,985.823,859.98,1.0,993.852,887.352,1.0,1018.133,935.68,1.0,1043.116,862.093,1.0,1058.993,908.352,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8888.png,942.371,882.955,1.0,972.064,900.713,1.0,977.828,851.842,1.0,991.209,876.985,1.0,1012.606,930.011,1.0,1035.526,857.536,1.0,1060.295,906.902,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img3482.png,942.99,889.743,1.0,967.993,912.582,1.0,980.313,858.861,1.0,989.933,886.661,1.0,1017.81,936.947,1.0,1052.759,876.7,1.0,1058.843,908.825,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img2877.png,945.314,888.575,1.0,970.322,913.746,1.0,979.462,859.017,1.0,990.849,887.093,1.0,1014.966,934.386,1.0,1036.483,860.575,0.9990000128746033,1060.057,906.806,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8204.png,944.881,875.866,1.0,973.438,899.451,1.0,975.638,853.382,1.0,991.966,880.638,1.0,1016.258,933.58,1.0,1036.845,858.334,1.0,1059.415,908.875,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8854.png,942.794,878.001,1.0,971.513,898.922,1.0,978.17,852.627,1.0,991.977,879.914,1.0,1010.803,933.52,1.0,1053.3,870.436,1.0,1059.469,908.839,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img0241.png,942.705,877.231,1.0,960.588,909.689,1.0,980.082,862.508,1.0,982.815,888.962,1.0,1014.114,939.002,0.9990000128746033,1046.39,875.777,1.0,1054.348,913.755,0.9959999918937683
labeled-data,e3v816b-20220309T192017-192534_cropped,img0230.png,942.426,878.983,1.0,960.664,909.884,1.0,978.396,862.05,1.0,983.788,890.979,1.0,1026.357,939.402,0.9829999804496765,1029.21,860.832,0.9990000128746033,1042.016,864.175,0.9990000128746033
labeled-data,e3v816b-20220309T192017-192534_cropped,img3483.png,940.955,888.331,1.0,969.058,911.252,1.0,979.505,858.622,1.0,990.831,887.202,1.0,1014.258,936.732,1.0,1035.903,859.047,0.9980000257492065,1059.139,906.698,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img3321.png,943.072,885.565,1.0,970.026,909.727,1.0,979.961,857.915,1.0,989.678,885.903,1.0,1016.381,934.624,1.0,1047.757,874.584,1.0,1060.979,907.402,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img3814.png,940.838,885.246,1.0,968.261,913.945,1.0,978.156,860.355,1.0,989.097,887.781,1.0,1019.243,937.284,1.0,1051.313,875.099,1.0,1058.03,907.613,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8887.png,944.778,876.056,1.0,970.995,902.825,1.0,979.068,851.759,1.0,990.979,880.301,1.0,1012.997,934.114,1.0,1054.031,869.504,1.0,1059.876,910.596,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img2728.png,944.277,887.545,1.0,969.556,912.455,1.0,978.869,861.203,1.0,991.154,887.965,1.0,1016.273,936.962,1.0,1036.359,861.233,1.0,1060.014,904.362,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img8376.png,945.769,880.293,1.0,972.986,900.826,1.0,974.396,856.36,1.0,992.455,878.24,1.0,1013.563,933.92,1.0,1035.626,856.847,1.0,1058.928,907.928,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img0219.png,944.687,874.288,1.0,960.902,911.702,1.0,975.144,863.393,1.0,983.141,889.427,1.0,1009.822,939.565,0.9990000128746033,1035.414,866.626,1.0,1052.474,908.556,0.9909999966621399
labeled-data,e3v816b-20220309T192017-192534_cropped,img3351.png,942.178,886.996,1.0,969.66,912.143,1.0,980.972,858.197,1.0,990.521,885.934,1.0,1016.193,937.012,1.0,1050.64,874.221,1.0,1058.649,908.179,1.0
labeled-data,e3v816b-20220309T192017-192534_cropped,img7935.png,944.196,880.353,1.0,974.296,905.59,1.0,978.612,856.991,1.0,990.981,880.793,1.0,1016.063,935.019,1.0,1053.274,875.322,1.0,1058.87,910.383,1.0
