scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220309T192518-193028_cropped,img0063.png,932.8542245213272,876.6112655556931,967.5383899589597,906.1396766715153,977.8498986025801,860.675297651916,986.286587492815,882.7044297541961,1002.6912603349385,930.9810384038736,1037.375425772571,853.1760186383739,1057.998443059812,908.9519063015936
labeled-data,e3v816b-20220309T192518-193028_cropped,img0652.png,939.4160936581766,864.424937158687,961.913930698803,903.7961519797833,976.9124887258873,857.3943630834913,982.0682430476975,884.5792495075816,996.129391198089,932.8558581572591,1031.282261574068,858.8004778985305,1057.061033183119,914.1076606234038
labeled-data,e3v816b-20220309T192518-193028_cropped,img0672.png,942.6970282266012,869.1119865421509,966.1322751439204,905.6709717331689,976.443783787541,857.3943630834913,983.9430628010831,885.047954445928,1001.7538504582457,934.7306779106447,1031.7509665124144,855.5195433301058,1057.998443059812,900.983922349705
labeled-data,e3v816b-20220309T192518-193028_cropped,img0801.png,932.3855195829808,875.6738556790003,964.2574553905349,900.983922349705,974.5689640341554,852.7073137000275,979.7247183559657,879.4234951857713,998.472915889821,929.1062186504881,1032.6883763891071,849.8950840699491,1057.5297381214655,906.1396766715153
labeled-data,e3v816b-20220309T192518-193028_cropped,img1192.png,931.9168146446344,874.7364458023076,964.2574553905349,898.6403976579732,972.2254393424234,848.48896925491,980.6621282326585,877.0799704940395,993.7858665063571,926.7626939587561,1036.4380158958782,848.48896925491,1054.2488035530407,912.2328408700182
labeled-data,e3v816b-20220309T192518-193028_cropped,img1252.png,933.3229294596736,873.7990359256148,965.1948652672277,898.6403976579732,972.2254393424234,853.1760186383739,982.536947986044,878.4860853090786,1002.6912603349385,928.1688087737953,1035.5006060191854,846.6141495015245,1054.7175084913872,899.5778075346659
labeled-data,e3v816b-20220309T192518-193028_cropped,img2221.png,932.3855195829808,867.7058717271118,966.1322751439204,897.7029877812804,971.7567344040771,852.238608761681,982.536947986044,877.0799704940395,1001.2851455198993,926.7626939587561,1032.6883763891071,845.2080346864853,1055.1862134297335,900.983922349705
labeled-data,e3v816b-20220309T192518-193028_cropped,img2255.png,933.3229294596736,871.9242161722292,966.1322751439204,895.8281680278948,972.2254393424234,850.832493946642,982.536947986044,875.6738556790003,999.8790307048602,926.2939890204098,1033.6257862658,847.5515593782172,1056.1236233064262,911.7641359316718
labeled-data,e3v816b-20220309T192518-193028_cropped,img2921.png,932.3855195829808,879.8922001241177,964.2574553905349,892.5472334594701,971.2880294657307,845.2080346864853,979.7247183559657,874.7364458023076,1006.9096047800559,924.4191692670242,1042.0624751560347,848.0202643165636,1057.5297381214655,899.5778075346659
labeled-data,e3v816b-20220309T192518-193028_cropped,img2957.png,929.5732899529025,871.9242161722292,966.1322751439204,894.890758151202,969.4132097123452,848.0202643165636,980.193423294312,872.3929211105756,999.8790307048602,926.2939890204098,1034.5631961424926,845.2080346864853,1054.7175084913872,904.2648569181297
labeled-data,e3v816b-20220309T192518-193028_cropped,img4311.png,925.8236504461314,868.6432816038046,961.913930698803,890.6724137060846,967.0696850206132,842.8645099947533,979.2560134176192,869.1119865421509,1000.3477356432065,922.0756445752924,1031.282261574068,843.3332149330997,1053.311393676348,905.6709717331689
labeled-data,e3v816b-20220309T192518-193028_cropped,img6043.png,947.8527825484115,865.8310519737262,963.3200455138422,899.5778075346659,991.4423418146253,867.2371667887653,986.286587492815,891.6098235827774,995.1919813213963,934.7306779106447,1033.6257862658,857.3943630834913,1050.967868984616,916.4511853151357
labeled-data,e3v816b-20220309T192518-193028_cropped,img6664.png,940.3535035348693,864.424937158687,970.8193245273843,907.0770865482081,982.0682430476975,860.675297651916,990.9736368762789,888.3288890143526,998.0042109514745,932.8558581572591,1033.1570813274534,855.9882482684521,1052.3739837996552,905.2022667948224
labeled-data,e3v816b-20220309T192518-193028_cropped,img7583.png,936.6038640280983,875.2051507406538,967.5383899589597,908.4832013632472,972.2254393424234,861.1440025902624,983.4743578627367,891.141118644431,1000.8164405815529,931.44974334222,1031.7509665124144,849.8950840699491,1053.311393676348,901.9213322263978
labeled-data,e3v816b-20220309T192518-193028_cropped,img7729.png,935.6664541514054,875.2051507406538,970.8193245273843,908.4832013632472,972.2254393424234,860.675297651916,983.4743578627367,884.5792495075816,1004.0973751499776,932.8558581572591,1035.5006060191854,848.48896925491,1055.1862134297335,907.5457914865544
