scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,leftear,leftear,lefthip,lefthip,neck,neck,nose,nose,rightear,rightear,righthip,righthip,tail,tail,leftear,leftear,lefthip,lefthip,neck,neck,nose,nose,rightear,rightear,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220309T192518-193028_cropped,img0063.png,967.5383899589597,906.1396766715153,1002.6912603349385,930.9810384038736,986.286587492815,882.7044297541961,932.8542245213272,876.6112655556931,977.8498986025801,860.675297651916,1037.375425772571,853.1760186383739,1057.998443059812,908.9519063015936,,,,,,,,,,,,,,
labeled-data,e3v816b-20220309T192518-193028_cropped,img0081.png,,,,,,,,,,,,,,,972.021,898.818,1008.072,933.071,991.725,880.321,943.547,877.048,974.696,853.388,1052.206,868.11,1059.522,908.702
labeled-data,e3v816b-20220309T192518-193028_cropped,img0228.png,,,,,,,,,,,,,,,972.548,899.917,1012.664,932.834,991.417,879.059,944.762,884.592,978.336,850.626,1036.75,857.861,1058.195,908.55
labeled-data,e3v816b-20220309T192518-193028_cropped,img0231.png,,,,,,,,,,,,,,,970.967,899.625,1015.611,931.669,991.208,878.255,943.135,878.218,975.238,855.735,1036.608,859.072,1058.96,908.915
labeled-data,e3v816b-20220309T192518-193028_cropped,img0254.png,,,,,,,,,,,,,,,972.326,900.245,1011.772,933.59,992.536,880.426,942.159,879.576,974.87,851.923,1036.161,859.204,1057.739,908.833
labeled-data,e3v816b-20220309T192518-193028_cropped,img0255.png,,,,,,,,,,,,,,,972.411,899.793,1008.662,933.147,992.031,877.072,943.971,878.172,974.778,853.731,1039.3778744599017,856.8552335873566,1059.0,909.396
labeled-data,e3v816b-20220309T192518-193028_cropped,img0374.png,,,,,,,,,,,,,,,972.336,905.187,1009.81,933.263,991.458,877.673,944.466,885.509,975.447,851.958,1045.5736715374385,861.0071868698853,1058.911,909.344
labeled-data,e3v816b-20220309T192518-193028_cropped,img0391.png,,,,,,,,,,,,,,,972.558,901.349,1014.39,932.486,991.492,877.432,943.929,875.486,978.292,852.058,1046.9787810249588,859.2089211773731,1058.22,909.726
labeled-data,e3v816b-20220309T192518-193028_cropped,img0402.png,,,,,,,,,,,,,,,972.619,900.058,1010.001,933.357,991.558,876.988,941.761,882.288,974.083,853.996,1042.865,858.452,1060.315,907.07
labeled-data,e3v816b-20220309T192518-193028_cropped,img0407.png,,,,,,,,,,,,,,,971.654,899.194,1014.477,933.331,991.87,879.648,943.191,878.04,976.078,851.756,1045.1096715374388,857.2030306648935,1058.954,908.444
labeled-data,e3v816b-20220309T192518-193028_cropped,img0437.png,,,,,,,,,,,,,,,970.867,902.287,1011.881,932.008,990.9,877.971,941.662,881.165,976.775,852.225,1035.108,856.841,1058.699,908.708
labeled-data,e3v816b-20220309T192518-193028_cropped,img0469.png,,,,,,,,,,,,,,,970.868,900.338,1008.641,931.429,991.254,880.237,940.969,880.695,979.486,851.656,1039.4698744599018,855.3049678948444,1059.36,908.665
labeled-data,e3v816b-20220309T192518-193028_cropped,img0555.png,,,,,,,,,,,,,,,971.4,900.041,1009.606,933.036,991.918,879.851,942.664,880.823,974.745,851.287,1040.0390306648937,855.675702202332,1058.724,909.417
labeled-data,e3v816b-20220309T192518-193028_cropped,img0567.png,,,,,,,,,,,,,,,970.725,901.335,1011.997,929.518,990.292,879.511,943.151,877.255,974.732,851.082,1041.513,858.763,1059.375,908.358
labeled-data,e3v816b-20220309T192518-193028_cropped,img0585.png,,,,,,,,,,,,,,,971.443,899.901,1009.901,932.044,991.161,879.739,944.745,876.048,975.288,852.396,1053.42,868.244,1060.366,908.374
labeled-data,e3v816b-20220309T192518-193028_cropped,img0626.png,,,,,,,,,,,,,,,971.048,900.912,1012.604,932.279,991.605,880.155,944.841,874.955,973.992,854.381,1045.0995153324468,858.8631868698853,1059.559,909.045
labeled-data,e3v816b-20220309T192518-193028_cropped,img0652.png,961.913930698803,903.7961519797833,996.129391198089,932.8558581572591,982.0682430476975,884.5792495075816,939.4160936581766,864.424937158687,976.9124887258873,857.3943630834913,1031.282261574068,858.8004778985305,1057.061033183119,914.1076606234038,,,,,,,,,,,,,,
labeled-data,e3v816b-20220309T192518-193028_cropped,img0672.png,966.1322751439204,905.6709717331689,1001.7538504582457,934.7306779106447,983.9430628010831,885.047954445928,942.6970282266012,869.1119865421509,976.443783787541,857.3943630834913,1031.7509665124144,855.5195433301058,1057.998443059812,900.983922349705,,,,,,,,,,,,,,
labeled-data,e3v816b-20220309T192518-193028_cropped,img0749.png,,,,,,,,,,,,,,,970.964,900.038,1008.474,931.613,991.185,879.668,943.597,884.001,976.22,851.282,1036.698,859.964,1059.63,908.295
labeled-data,e3v816b-20220309T192518-193028_cropped,img0801.png,964.2574553905349,900.983922349705,998.472915889821,929.1062186504881,979.7247183559657,879.4234951857713,932.3855195829808,875.6738556790003,974.5689640341554,852.7073137000275,1032.6883763891071,849.8950840699491,1057.5297381214655,906.1396766715153,,,,,,,,,,,,,,
labeled-data,e3v816b-20220309T192518-193028_cropped,img0839.png,,,,,,,,,,,,,,,970.159,896.68,1010.04,926.839,991.007,877.731,943.753,875.174,980.464,851.835,1035.152,853.048,1058.745,906.226
labeled-data,e3v816b-20220309T192518-193028_cropped,img0906.png,,,,,,,,,,,,,,,969.253,896.621,1012.012,926.574,988.021,877.599,943.196,874.27,978.324,849.935,1039.8276715374384,853.4456087673894,1058.47,905.875
labeled-data,e3v816b-20220309T192518-193028_cropped,img1020.png,,,,,,,,,,,,,,,969.234,894.586,1008.465,927.222,988.392,876.707,939.542,881.612,977.598,848.252,1033.931,851.166,1057.245,903.881
labeled-data,e3v816b-20220309T192518-193028_cropped,img1192.png,964.2574553905349,898.6403976579732,993.7858665063571,926.7626939587561,980.6621282326585,877.0799704940395,931.9168146446344,874.7364458023076,972.2254393424234,848.48896925491,1036.4380158958782,848.48896925491,1054.2488035530407,912.2328408700182,,,,,,,,,,,,,,
labeled-data,e3v816b-20220309T192518-193028_cropped,img1252.png,965.1948652672277,898.6403976579732,1002.6912603349385,928.1688087737953,982.536947986044,878.4860853090786,933.3229294596736,873.7990359256148,972.2254393424234,853.1760186383739,1035.5006060191854,846.6141495015245,1054.7175084913872,899.5778075346659,,,,,,,,,,,,,,
