scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220310T002105_cropped,img0609.png,976.6492571610542,779.4997406262014,976.6492571610542,827.5292506004121,1015.0728651404227,803.8346923464682,997.7822415497069,823.0464963361524,958.0778466376928,861.4701043155208,1023.3979802026191,869.1548259113945,986.2551591558963,909.4996142897313
labeled-data,e3v816b-20220310T002105_cropped,img2284.png,,,1008.6689304771945,853.7853827196471,1013.792078207777,895.4109580306296,993.2994872854472,869.7952193777173,933.7428949174262,885.1646625694647,996.5014546170612,906.2976469581173,1010.590110876163,924.2286640151559
labeled-data,e3v816b-20220310T002105_cropped,img3156.png,968.3241420988577,798.0711511495629,970.8857159641489,836.4947591289313,1004.8265696792578,823.0464963361524,992.6590938191243,841.6179068595138,952.9546989071102,887.0858429684331,1029.8019148658473,875.5587605746225,1001.6246023476436,920.386303217219
labeled-data,e3v816b-20220310T002105_cropped,img3752.png,1005.4669631455805,814.080987807633,994.5802742180928,842.8986937921594,1038.7674233943665,848.0218415227419,1010.590110876163,856.3469565849383,954.2354858397559,878.7607279062366,1026.5999475342333,905.0168600254717,973.4472898294401,932.5537790773524
labeled-data,e3v816b-20220310T002105_cropped,img5430.png,901.7232216012857,887.0858429684331,952.3143054407875,895.4109580306296,943.989190378591,860.829710849198,961.9202074356297,875.5587605746225,989.4571264875103,920.386303217219,995.2206676844156,843.5390872584821,1026.5999475342333,889.6474168337243
labeled-data,e3v816b-20220310T002105_cropped,img6030.png,875.4670894820506,795.5095772842717,907.486762798191,821.1253159371839,913.2503039950963,775.0169863619418,925.4177798552296,798.0711511495629,937.5852557153629,856.3469565849383,973.4472898294401,784.622888356784,990.737913420156,856.3469565849383
labeled-data,e3v816b-20220310T002105_cropped,img6058.png,760.6747931287424,768.717784673127,808.2126094503571,786.764548276703,813.0544240757068,744.5087115463787,821.8577233945244,768.717784673127,867.1947148864348,814.0547761650373,869.3955397161392,743.6283816144969,901.5275822298232,794.2473526976978
labeled-data,e3v816b-20220310T002105_cropped,img6511.png,296.86969415865514,480.89427671895214,337.0113706639681,494.2748355540564,333.1883538539383,454.13315904874355,352.3034379040873,471.3367346938776,419.2062320796087,500.00936076910114,421.11774048462354,427.37204137853496,489.9320430651599,465.60220947883295
labeled-data,e3v816b-20220310T002105_cropped,img6609.png,230.65029620923994,521.5614648957397,249.3064978795939,511.56707114376445,220.65590245726457,480.25130405424164,247.30761912919886,486.2479403054269,319.2672541434214,497.5749198909989,315.9357895594295,428.2804565439698,374.56956623768497,454.2658802991058
labeled-data,e3v816b-20220310T002105_cropped,img6860.png,832.5444980666425,145.33239902978016,805.3309298926181,159.76086467644916,841.6495895879011,184.6104739416429,814.8884719176926,190.34499915668755,746.0741693371563,224.75215044695574,818.7114887277223,253.42477652217917,761.3662365772755,280.18589419238776
labeled-data,e3v816b-20220310T002105_cropped,img6943.png,841.7310600169695,538.9729884108747,849.8555349379302,591.2017557599072,878.8715167985038,558.7038560760648,871.9076811519661,584.8182397505809,892.7991880915791,638.2076463740364,914.8513343056151,568.5692899086597,952.5721107243608,604.549107415771
labeled-data,e3v816b-20220310T002105_cropped,img7265.png,1050.2448249506426,209.38356698800422,1011.5568491365445,203.36543741692228,1022.7333754828395,245.92221081243025,1003.3893875757905,223.99902451777464,947.076889446381,196.91744144790593,944.9275574567089,272.5739274843645,890.7643913169715,244.63261161862698
labeled-data,e3v816b-20220310T002105_cropped,img7329.png,563.1167865668356,742.4291485974355,576.958484580324,787.414667141273,599.4512438522427,747.6197853524936,595.9908193488706,771.8427568760984,657.1249855751112,826.0560740955948,666.3527842507701,748.1965227697224,711.9150402118364,785.1077174723582
labeled-data,e3v816b-20220310T002105_cropped,img7426.png,144.82177668160404,613.9397268899716,191.8441666700445,647.0866575375607,195.69846093139208,598.9079792707159,205.33419658476103,618.5648800035885,255.82545140841432,660.5766874522772,258.90888681749243,605.074850088872,292.44124689121634,647.0866575375607
labeled-data,e3v816b-20220310T002105_cropped,img7630.png,604.7132796248877,103.84663776472581,567.142956445419,133.79399682082402,604.7132796248877,159.929873815237,574.221423131406,158.29638150308617,512.1487152696752,158.84087894046976,547.5410486996094,230.7145406751054,483.8348485257278,239.97099711062668
