scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,leftear,leftear,lefthip,lefthip,neck,neck,nose,nose,rightear,rightear,righthip,righthip,tail,tail,leftear,leftear,lefthip,lefthip,neck,neck,nose,nose,rightear,rightear,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220310T002105_cropped,img0609.png,976.6492571610542,827.5292506004121,958.0778466376928,861.4701043155208,997.7822415497069,823.0464963361524,976.6492571610542,779.4997406262014,1015.0728651404227,803.8346923464682,1023.3979802026191,869.1548259113945,986.2551591558963,909.4996142897313,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img2284.png,1008.6689304771945,853.7853827196471,933.7428949174262,885.1646625694647,993.2994872854472,869.7952193777173,,,1013.792078207777,895.4109580306296,996.5014546170612,906.2976469581173,1010.590110876163,924.2286640151559,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img3156.png,970.8857159641489,836.4947591289313,952.9546989071102,887.0858429684331,992.6590938191243,841.6179068595138,968.3241420988577,798.0711511495629,1004.8265696792578,823.0464963361524,1029.8019148658473,875.5587605746225,1001.6246023476436,920.386303217219,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img3217.png,,,,,,,,,,,,,,,977.409,840.19,947.081,899.207,994.643,864.391,991.836,807.766,1019.419,841.871,1029.801,899.22,986.5415285512189,931.3274150070735
labeled-data,e3v816b-20220310T002105_cropped,img3752.png,994.5802742180928,842.8986937921594,954.2354858397559,878.7607279062366,1010.590110876163,856.3469565849383,1005.4669631455805,814.080987807633,1038.7674233943665,848.0218415227419,1026.5999475342333,905.0168600254717,973.4472898294401,932.5537790773524,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img4412.png,,,,,,,,,,,,,,,1034.64,862.255,972.889,845.409,1007.689,881.447,1042.0,888.649,1024.636,902.238,966.2925096271946,934.1463207173172,917.945,876.975
labeled-data,e3v816b-20220310T002105_cropped,img4978.png,,,,,,,,,,,,,,,960.319,868.228,966.836,908.915,988.335,854.82,938.205,825.887,986.04,830.622,1030.741,892.113,1005.141,920.583
labeled-data,e3v816b-20220310T002105_cropped,img5430.png,952.3143054407875,895.4109580306296,989.4571264875103,920.386303217219,961.9202074356297,875.5587605746225,901.7232216012857,887.0858429684331,943.989190378591,860.829710849198,995.2206676844156,843.5390872584821,1026.5999475342333,889.6474168337243,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6030.png,907.486762798191,821.1253159371839,937.5852557153629,856.3469565849383,925.4177798552296,798.0711511495629,875.4670894820506,795.5095772842717,913.2503039950963,775.0169863619418,973.4472898294401,784.622888356784,990.737913420156,856.3469565849383,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6058.png,808.2126094503571,786.764548276703,867.1947148864348,814.0547761650373,821.8577233945244,768.717784673127,760.6747931287424,768.717784673127,813.0544240757068,744.5087115463787,869.3955397161392,743.6283816144969,901.5275822298232,794.2473526976978,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6132.png,,,,,,,,,,,,,,,248.833,163.082,294.816,223.272,270.833,158.02,223.848,127.227,273.316,129.77,328.718,157.308,359.185,237.675
labeled-data,e3v816b-20220310T002105_cropped,img6275.png,,,,,,,,,,,,,,,376.678,430.271,371.06426785071767,458.30647214208614,400.569,433.203,378.298,371.512,415.523,410.168,441.457,450.154,370.828,475.581
labeled-data,e3v816b-20220310T002105_cropped,img6390.png,,,,,,,,,,,,,,,604.479,368.032,525.236,397.168,596.909,395.022,653.913,360.967,632.167,409.426,556.557,451.209,488.823,447.848
labeled-data,e3v816b-20220310T002105_cropped,img6511.png,337.0113706639681,494.2748355540564,419.2062320796087,500.00936076910114,352.3034379040873,471.3367346938776,296.86969415865514,480.89427671895214,333.1883538539383,454.13315904874355,421.11774048462354,427.37204137853496,489.9320430651599,465.60220947883295,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6609.png,249.3064978795939,511.56707114376445,319.2672541434214,497.5749198909989,247.30761912919886,486.2479403054269,230.65029620923994,521.5614648957397,220.65590245726457,480.25130405424164,315.9357895594295,428.2804565439698,374.56956623768497,454.2658802991058,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6791.png,,,,,,,,,,,,,,,702.417,424.839,687.685,485.381,726.541,444.436,722.459,372.543,753.17,416.707,759.109,483.411,713.952,538.692
labeled-data,e3v816b-20220310T002105_cropped,img6836.png,,,,,,,,,,,,,,,782.989,232.354,724.261,331.242,788.785,266.457,810.257,202.185,821.831,254.789,790.527,345.889,741.025,371.748
labeled-data,e3v816b-20220310T002105_cropped,img6860.png,805.3309298926181,159.76086467644916,746.0741693371563,224.75215044695574,814.8884719176926,190.34499915668755,832.5444980666425,145.33239902978016,841.6495895879011,184.6104739416429,818.7114887277223,253.42477652217917,761.3662365772755,280.18589419238776,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img6919.png,,,,,,,,,,,,,,,989.592,552.366,1023.29,452.323,980.68,520.26,953.686,576.806,957.397,527.451,958.973,450.814,982.671,412.03
labeled-data,e3v816b-20220310T002105_cropped,img6943.png,849.8555349379302,591.2017557599072,892.7991880915791,638.2076463740364,871.9076811519661,584.8182397505809,841.7310600169695,538.9729884108747,878.8715167985038,558.7038560760648,914.8513343056151,568.5692899086597,952.5721107243608,604.549107415771,,,,,,,,,,,,,,
labeled-data,e3v816b-20220310T002105_cropped,img7103.png,,,,,,,,,,,,,,,210.154,405.264,264.003,453.289,235.829,398.161,199.035,364.254,239.478,370.483,308.415,406.598,329.401,444.577
labeled-data,e3v816b-20220310T002105_cropped,img7182.png,,,,,,,,,,,,,,,658.156,111.227,597.601,112.164,654.158,135.181,700.695,86.416,693.5,140.696,633.843,177.735,566.414,173.784
labeled-data,e3v816b-20220310T002105_cropped,img7251.png,,,,,,,,,,,,,,,936.631,225.557,857.388,195.99,913.144,242.019,988.523,246.734,938.803,267.201,823.484,256.973,802.73,217.082
