scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220310T002105_cropped,img4412.png,1042.0,888.649,0.9990000128746033,1034.64,862.255,1.0,1024.636,902.238,1.0,1007.689,881.447,1.0,972.889,845.409,1.0,986.811,930.175,0.9990000128746033,917.945,876.975,0.890999972820282
labeled-data,e3v816b-20220310T002105_cropped,img8218.png,766.856,861.634,1.0,725.815,843.55,1.0,718.93,882.349,1.0,707.451,857.758,1.0,635.66,800.14,1.0,617.517,859.354,1.0,589.003,821.303,1.0
labeled-data,e3v816b-20220310T002105_cropped,img6919.png,953.686,576.806,1.0,989.592,552.366,1.0,957.397,527.451,1.0,980.68,520.26,1.0,1023.29,452.323,1.0,958.973,450.814,1.0,982.671,412.03,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7924.png,327.214,215.301,1.0,375.051,238.06,1.0,376.832,191.692,1.0,394.03,214.584,1.0,434.204,250.856,1.0,443.578,179.19,1.0,491.536,229.34,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8076.png,848.819,378.619,1.0,856.028,434.912,1.0,895.179,411.287,1.0,882.81,438.981,1.0,858.746,483.622,1.0,918.114,450.674,1.0,906.221,498.765,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7549.png,386.681,312.954,1.0,379.581,367.582,1.0,418.541,365.299,1.0,397.79,388.066,1.0,354.406,433.672,1.0,422.521,453.152,1.0,380.347,494.979,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7251.png,988.523,246.734,1.0,936.631,225.557,1.0,938.803,267.201,1.0,913.144,242.019,1.0,857.388,195.99,1.0,823.484,256.973,1.0,802.73,217.082,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7792.png,793.137,459.723,1.0,750.917,426.024,1.0,738.671,466.489,1.0,730.186,437.016,1.0,717.757,370.879,1.0,661.723,419.538,1.0,645.396,343.008,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8202.png,467.725,692.219,1.0,454.326,650.079,1.0,421.804,672.626,1.0,425.106,642.615,1.0,422.437,574.427,1.0,355.475,595.688,1.0,356.224,539.906,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8248.png,949.334,726.876,1.0,927.61,764.245,1.0,972.471,772.528,1.0,938.889,792.543,1.0,878.1,806.682,1.0,938.931,839.858,1.0,880.113,859.483,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7385.png,316.258,647.196,1.0,340.91,684.639,1.0,364.214,656.48,1.0,361.792,679.142,1.0,411.303,741.444,0.9399999976158142,440.924,689.238,1.0,459.454,744.783,0.7820000052452087
labeled-data,e3v816b-20220310T002105_cropped,img7103.png,199.035,364.254,1.0,210.154,405.264,1.0,239.478,370.483,1.0,235.829,398.161,1.0,264.003,453.289,1.0,308.415,406.598,1.0,329.401,444.577,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7182.png,700.695,86.416,1.0,658.156,111.227,1.0,693.5,140.696,1.0,654.158,135.181,0.9990000128746033,597.601,112.164,0.9929999709129333,633.843,177.735,1.0,566.414,173.784,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7934.png,348.934,343.65,1.0,378.232,305.817,1.0,333.966,288.088,1.0,359.671,278.531,1.0,429.277,250.559,1.0,374.595,204.466,0.9990000128746033,446.111,203.816,1.0
labeled-data,e3v816b-20220310T002105_cropped,img6275.png,378.298,371.512,1.0,376.678,430.271,1.0,415.523,410.168,1.0,400.569,433.203,1.0,444.052,467.065,0.7120000123977661,441.457,450.154,0.9950000047683716,370.828,475.581,0.9789999723434448
labeled-data,e3v816b-20220310T002105_cropped,img8424.png,959.269,427.236,1.0,973.625,384.253,1.0,940.925,377.907,1.0,954.155,356.188,1.0,995.74,289.245,1.0,933.875,282.001,1.0,958.288,240.879,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8033.png,896.897,457.919,1.0,876.277,502.677,1.0,918.179,504.791,1.0,898.392,527.295,1.0,862.167,575.951,1.0,922.006,579.253,1.0,887.932,625.508,1.0
labeled-data,e3v816b-20220310T002105_cropped,img6132.png,223.848,127.227,1.0,248.833,163.082,1.0,273.316,129.77,1.0,270.833,158.02,1.0,294.816,223.272,1.0,328.718,157.308,1.0,359.185,237.675,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7979.png,620.602,846.206,1.0,582.164,818.271,1.0,567.638,855.992,1.0,558.197,829.734,1.0,501.044,780.307,1.0,488.615,842.542,0.9990000128746033,440.484,789.574,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8223.png,848.676,862.118,1.0,808.72,842.662,1.0,799.055,876.922,1.0,782.875,858.583,1.0,729.965,814.257,1.0,697.751,875.42,0.9990000128746033,671.069,838.22,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8566.png,332.941,1005.321,0.9929999709129333,362.355,969.322,1.0,327.663,955.544,1.0,354.918,944.012,1.0,404.142,928.763,1.0,356.066,890.907,0.9639999866485596,402.031,871.902,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8633.png,1053.737,732.466,1.0,1017.636,732.917,1.0,1021.426,766.567,1.0,1003.64,752.081,1.0,925.653,741.625,1.0,936.675,805.242,1.0,886.565,782.339,1.0
labeled-data,e3v816b-20220310T002105_cropped,img6390.png,653.913,360.967,1.0,604.479,368.032,1.0,632.167,409.426,1.0,596.909,395.022,1.0,525.236,397.168,1.0,556.557,451.209,1.0,488.823,447.848,1.0
labeled-data,e3v816b-20220310T002105_cropped,img3217.png,991.836,807.766,1.0,977.409,840.19,1.0,1019.419,841.871,1.0,994.643,864.391,1.0,947.081,899.207,1.0,1029.801,899.22,1.0,1013.017,922.061,0.7630000114440918
labeled-data,e3v816b-20220310T002105_cropped,img6836.png,810.257,202.185,1.0,782.989,232.354,1.0,821.831,254.789,1.0,788.785,266.457,1.0,724.261,331.242,1.0,790.527,345.889,1.0,741.025,371.748,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8422.png,975.261,374.544,1.0,990.193,341.336,1.0,954.54,334.047,1.0,971.917,315.458,1.0,1003.286,240.374,1.0,943.542,249.881,1.0,953.886,206.03,1.0
labeled-data,e3v816b-20220310T002105_cropped,img7710.png,589.495,106.667,0.9520000219345093,571.005,147.955,1.0,604.305,110.802,1.0,592.409,144.703,1.0,549.816,179.989,0.9940000176429749,595.913,178.05,0.9940000176429749,553.523,198.862,1.0
labeled-data,e3v816b-20220310T002105_cropped,img8777.png,811.928,103.013,1.0,815.671,148.755,1.0,850.404,137.993,1.0,836.432,162.468,1.0,830.725,236.361,1.0,887.556,207.59,1.0,873.499,271.042,1.0
labeled-data,e3v816b-20220310T002105_cropped,img6791.png,722.459,372.543,1.0,702.417,424.839,1.0,753.17,416.707,1.0,726.541,444.436,1.0,687.685,485.381,1.0,759.109,483.411,1.0,713.952,538.692,1.0
labeled-data,e3v816b-20220310T002105_cropped,img4978.png,938.205,825.887,1.0,960.319,868.228,1.0,986.04,830.622,1.0,988.335,854.82,1.0,966.836,908.915,1.0,1030.741,892.113,0.9190000295639038,1005.141,920.583,0.9980000257492065
