scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220314T185935-190456_cropped,img0003.png,540.4263478584967,421.04655733293,572.3439279051277,397.2534522072596,535.2034711235933,378.6832238164925,563.6391333469555,368.81778998389746,622.8317363425257,329.3560546535174,565.3800922585899,278.28792657890784,638.5003665472354,279.4485658533308
labeled-data,e3v816b-20220314T185935-190456_cropped,img0097.png,488.8833839873987,618.9887854109861,531.8270371410476,663.5229442369924,544.5510825199066,614.7474369513665,551.4432737667885,638.0748534792746,608.1713094142012,646.0273818410614,564.6974877030999,582.4071549467667,593.3265898055325,567.5624353380979
labeled-data,e3v816b-20220314T185935-190456_cropped,img0192.png,816.1059663965722,563.9865200624808,777.2926128830766,599.9770842295404,809.048993030482,627.4992803572918,780.8210995661216,625.3821883474648,714.4855499248745,634.556253723382,758.2387847946331,695.2462246717571,691.1975378167771,694.540527335148
labeled-data,e3v816b-20220314T185935-190456_cropped,img0266.png,890.8035566235985,438.89009657798886,842.0029737980931,454.30080694393797,874.5366956817634,491.97143228292464,845.4275761016373,481.6976253722919,771.7986265754362,485.12222767583614,825.7361128562579,543.3404668360882,756.387916209487,546.7650691396325
labeled-data,e3v816b-20220314T185935-190456_cropped,img0276.png,839.0230208187971,411.96573714316474,809.7921057592564,449.72233576173824,850.5935913631987,474.0814316446889,820.1447215095104,472.86347685054136,764.7277783757976,493.56870835104945,825.6255180831743,548.9856514847622,756.2020948167649,555.6844028525736
labeled-data,e3v816b-20220314T185935-190456_cropped,img0603.png,233.760264967256,616.1452191886499,258.0333875706198,614.4902335566023,221.6237036655741,591.872096585286,247.55181190098546,584.1488303023976,307.1312946546966,533.3959375862734,253.0684306744772,489.2629873983392,300.5113521265065,464.4382029176262
labeled-data,e3v816b-20220314T185935-190456_cropped,img0997.png,486.1090262551301,429.2835497835499,447.87885815483213,433.1065665935796,470.8169590150109,475.1597515039074,436.40980772474273,461.77919266880315,369.5070135492213,429.2835497835499,392.4451144094001,507.65539438916073,344.6574042840277,454.13315904874355
labeled-data,e3v816b-20220314T185935-190456_cropped,img1152.png,476.5224870548499,343.1901225384425,460.6174303312762,375.0002359855898,501.97057781256774,376.5907416579472,482.08925690810065,386.13377569209143,443.91712077152386,425.8964175010256,509.1278533381759,468.0448178184958,449.48389062477463,493.4929085762137
labeled-data,e3v816b-20220314T185935-190456_cropped,img1525.png,870.4726814401715,595.5240982133377,871.5760051948698,648.4836384388586,911.8473222413597,625.8655014675423,894.7458040435353,646.2769909294619,879.8509333551075,688.2032936079994,950.4636536558021,675.5150704289683,913.5023078734073,727.9229487771402
labeled-data,e3v816b-20220314T185935-190456_cropped,img1804.png,896.925182798868,156.2992222182829,921.6854873198909,198.94196889337772,957.9088957858316,175.55723684574508,943.2361227363367,194.35672731541055,914.8076249529402,233.33128072813162,979.4595312022775,256.7160127757643,920.7684390042974,289.2712279793313
labeled-data,e3v816b-20220314T185935-190456_cropped,img2048.png,569.1133144558663,155.71231129630308,564.2128375194138,208.5285627225126,590.8932119512104,189.47115241408648,584.9037401399908,208.5285627225126,569.1133144558663,266.24529108517453,612.128612009171,215.06253197111582,636.6309966914331,249.36587052628283
labeled-data,e3v816b-20220314T185935-190456_cropped,img2890.png,,,,,,,,,,,857.3046512388711,207.25626565122627,801.4936639070518,216.80288190535327
labeled-data,e3v816b-20220314T185935-190456_cropped,img3085.png,669.9231972364937,256.5085664165612,720.0850236554581,271.48224594461027,714.0955518442386,228.8072592896704,735.0587031835073,242.28357086491457,781.4771097204595,267.73882606259804,768.0007981452152,204.84937204479183,807.6810488945454,234.0480471244876
labeled-data,e3v816b-20220314T185935-190456_cropped,img3360.png,1007.0109215273336,897.2721835301903,1004.3063454403296,882.6674726603683,983.2106519616977,910.7950639652107,982.6697367442969,886.453879182174,959.4103823960618,816.1349009200678,903.1551997863769,857.2444574425299,883.6822519599475,799.9074443980434
labeled-data,e3v816b-20220314T185935-190456_cropped,img3453.png,837.2720173623311,622.3927183052297,849.3082765044949,673.4035308601146,888.2828299172161,643.026305406082,875.6734155778063,668.8182892821475,880.8318123530194,727.2801194012291,930.6963145134125,677.4156172408359,916.3674345822651,747.3405513048356
labeled-data,e3v816b-20220314T185935-190456_cropped,img3946.png,856.2129795502217,500.63635673268834,862.0484159021814,553.8036657172111,906.1383794503222,529.1651566756029,886.6869249437896,549.9133748159045,856.2129795502217,575.2002656743969,919.7543976048951,573.2551202237437,899.0061794645935,610.8612656030401
labeled-data,e3v816b-20220314T185935-190456_cropped,img5170.png,738.9408857298829,385.074155021183,786.2261895026695,400.2054522284747,788.1176016535809,351.9744423802324,800.8846336722333,375.6170942666257,858.0998512373051,408.24395386984844,844.387113143197,338.7345573238521,877.9596788218755,356.23011971978315
labeled-data,e3v816b-20220314T185935-190456_cropped,img5527.png,238.24401598422585,663.5241980139863,257.80293709024215,663.5241980139863,235.23495119868488,631.9290177658062,261.8150234709634,627.4154205874947,356.09905341791375,600.8353483152162,320.4917867890123,540.6540526043968,379.16855010706115,534.9296650719034
labeled-data,e3v816b-20220314T185935-190456_cropped,img7641.png,846.8770560421574,295.66330549441636,886.245653652985,286.1023603603583,868.8109889967614,259.10675057007643,894.1193731751505,262.48120179386166,939.1120561589536,284.4151347484656,911.5540378313742,214.67647612357098,945.860958606524,229.86150663060448
labeled-data,e3v816b-20220314T185935-190456_cropped,img8797.png,,,,,,,,,,,,,,
