scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220314T190936-191503_cropped,img0289.png,317.93893115160415,411.0043409441844,367.63148675282355,407.5940675205713,351.5544834700761,362.28614917828304,373.9648516823907,377.87597054337147,421.70867961297404,373.97851520209935,378.8366708589809,323.798777683221,425.11895303658713,325.260323436198
labeled-data,e3v816b-20220314T190936-191503_cropped,img1423.png,478.4629926350705,337.53114634283475,480.37450104008536,389.141873278237,528.1622111654578,364.29226401304334,509.0471271153089,391.0533816832519,512.8701439253387,454.13315904874355,585.5074633159047,427.37204137853496,581.684446505875,488.54031033901174
labeled-data,e3v816b-20220314T190936-191503_cropped,img2560.png,554.9233288356663,670.1336088154271,554.9233288356663,716.0098105357847,600.7995305560239,700.7177432956655,581.684446505875,727.478860965874,574.0384128858154,779.0895879012762,646.6757322763815,748.5054534210378,642.8527154663518,811.5852307865296
labeled-data,e3v816b-20220314T190936-191503_cropped,img2933.png,250.99349243829766,651.0185247652781,262.46254286838706,704.5407601056952,287.3121521335807,673.9566256254568,291.1351689436105,702.6292517006804,314.0732698037893,742.7709282059932,356.1264547141171,677.7796424354867,392.4451144094001,737.0364029909485
labeled-data,e3v816b-20220314T190936-191503_cropped,img3856.png,526.2507027604429,312.681537077641,575.9499212908304,324.1505875077304,566.3923792657556,284.00891100241756,591.2419885309494,297.3894698375219,627.5606482262326,335.6196379378198,640.9412070613369,270.6283521673133,679.1713751616348,316.5045538876708
labeled-data,e3v816b-20220314T190936-191503_cropped,img4006.png,373.3300303592511,213.28310001686634,407.7371816495193,253.42477652217917,421.11774048462354,194.16801596671735,424.94075729465334,230.48667566200038,445.9673497498173,272.53986057232817,459.3479085849215,207.5485748018216,491.84355147017476,238.13270928205998
labeled-data,e3v816b-20220314T190936-191503_cropped,img4172.png,,,214.48290187411177,496.5113587781095,,,235.36007993379363,475.18998544056217,273.5608738302327,527.160832950834,288.21931799979654,444.9847065457033,326.86430717410127,510.7256076698078
labeled-data,e3v816b-20220314T190936-191503_cropped,img4244.png,501.4010934952493,410.1684657334009,449.7903665598471,413.9914825434307,472.7284674200259,459.8676842637882,440.23282453477253,440.7526002136392,377.1530471692809,423.54902456850516,377.1530471692809,492.36332714904154,321.7193034238489,467.5137178838478
labeled-data,e3v816b-20220314T190936-191503_cropped,img4315.png,726.9590852870072,375.76131444313273,671.5253415415752,377.6728228481476,696.3749508067688,421.6375161634903,673.4368499465902,410.1684657334009,595.0650053409793,391.0533816832519,598.888022151009,465.60220947883295,543.454278405577,429.2835497835499
labeled-data,e3v816b-20220314T190936-191503_cropped,img4958.png,726.9590852870072,272.53986057232817,700.1979676167987,322.23907910271555,761.3662365772755,316.5045538876708,730.7821020970371,331.79662112779,677.2598667566199,345.17717996289434,755.6317113622308,356.64623039298374,707.8440012368583,387.23036487322213
labeled-data,e3v816b-20220314T190936-191503_cropped,img5656.png,905.275848045092,907.042545244442,909.6819786239198,884.1306662345372,876.1953862248282,903.9582538392625,884.5670343246011,876.6402442505298,853.2835072149235,802.6172505262222,807.4597491951139,859.8969480509841,780.582352664264,813.6325769732917
labeled-data,e3v816b-20220314T190936-191503_cropped,img6339.png,927.6716428909615,251.4184825764197,961.5236217282974,297.3604538556612,966.3596187050597,251.4184825764197,972.807614674076,278.01646594861216,1001.8235965346496,300.5844518401694,976.0316126585842,224.01449970810017,,
labeled-data,e3v816b-20220314T190936-191503_cropped,img6830.png,518.6046691403833,316.5045538876708,537.7197531905324,266.8053353572835,491.84355147017476,266.8053353572835,516.6931607353686,249.60175971214937,558.7463456456962,243.86723449710473,516.6931607353686,178.87594872659815,585.5074633159047,207.5485748018216
labeled-data,e3v816b-20220314T190936-191503_cropped,img7405.png,241.4359504132231,475.1597515039074,264.3740512734019,461.77919266880315,229.96689998313371,452.2216506437286,247.17047562826787,433.1065665935796,319.80779501883393,415.90299094844556,264.3740512734019,356.64623039298374,312.16176139877433,343.2656715578794
labeled-data,e3v816b-20220314T190936-191503_cropped,img7919.png,853.1186400179906,134.91125541125552,807.242438297633,175.05293191656835,853.1186400179906,197.99103277674715,818.7114887277223,199.902541181762,767.1007617923201,224.75215044695574,828.2690307527969,257.24779333220897,774.7467954123797,284.00891100241756
