scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v816b-20220314T235522-000024_cropped,img0113.png,958.0178973665779,560.2685697645461,909.7224075586454,577.1336614435066,939.6196155349846,586.3328023593033,920.4547386270749,596.2985383514164,904.3562420244307,638.4612675488178,979.4825595034367,635.3948872435521,952.6517318323631,693.6561130435978
labeled-data,e3v816b-20220314T235522-000024_cropped,img0206.png,945.1757712704264,558.240961609889,928.0706708526191,576.7144700611209,965.0176877550829,581.503898178107,946.544179303851,591.0827544120791,915.0707945350856,637.6086275485148,978.0175640726163,634.8718114816656,948.5967913539878,695.7659689690596
labeled-data,e3v816b-20220314T235522-000024_cropped,img0466.png,908.6099760096408,587.8893485862238,908.6099760096408,631.1446548783751,941.835066349989,626.7564353994612,929.9241849072228,639.2942053392153,911.1175299975916,690.6990620922068,978.1945991752757,662.4890797277602,953.7459477927553,733.3274798873704
labeled-data,e3v816b-20220314T235522-000024_cropped,img0738.png,902.1686895386522,594.6588129764955,905.3067142435734,644.867208255236,944.0090189376028,632.3151094355509,924.1348624731013,648.5282370776442,908.4447389484948,695.5986076514637,973.2972495168681,660.5573317798426,964.929183637078,724.886838230729
labeled-data,e3v816b-20220314T235522-000024_cropped,img1906.png,901.217221462354,639.0328823914708,912.4474811083909,682.4565530228133,946.1382600465013,668.2315574711665,935.6566843768669,683.2052369992157,916.9395849668056,718.393383890131,982.0750909138192,682.4565530228133,971.5935152441848,746.8433749934243
labeled-data,e3v816b-20220314T235522-000024_cropped,img2488.png,895.1718249283183,670.1336088154271,908.5523837634225,708.3637769157251,948.6940602687355,673.9566256254568,937.225009838646,700.7177432956655,937.225009838646,754.2399786360826,981.1897031539886,700.7177432956655,985.0127199640185,767.6205374711869
labeled-data,e3v816b-20220314T235522-000024_cropped,img2955.png,963.9861275088547,675.8681340304718,942.9595350536908,735.1248945859336,994.5702619890931,723.6558441558443,975.455177938944,740.8594198009782,927.6674678135716,759.9745038511273,1004.1278040141674,740.8594198009782,994.5702619890931,775.2665710912465
labeled-data,e3v816b-20220314T235522-000024_cropped,img3214.png,891.3488081182884,687.3371844605612,891.3488081182884,721.7443357508294,933.4019930286163,716.0098105357847,925.7559594085567,740.8594198009782,937.225009838646,784.824113116321,985.0127199640185,714.0983021307698,998.3932787991228,779.0895879012762
labeled-data,e3v816b-20220314T235522-000024_cropped,img3484.png,,,896.5131065250712,729.0186424032752,922.6489835194841,709.4167346574654,919.3819988951825,728.2018962471998,938.9839066409922,783.7406348603273,996.972883722346,725.7516577789736,1005.1403452831,787.0076194846289
labeled-data,e3v816b-20220314T235522-000024_cropped,img3936.png,928.3945563768079,693.0617511040537,926.8685306641407,731.7210691582894,959.9324211052634,708.8306834682814,950.7762668292602,730.1950434456222,940.0940868405899,781.5712424387514,1002.1524658223893,729.6863682080665,1010.7999448608368,785.6406443391973
labeled-data,e3v816b-20220314T235522-000024_cropped,img3997.png,922.1512331441822,704.5980304222854,918.5386875169783,729.5574365738759,948.7527054899563,710.1810554825096,939.2287215636915,731.5279160068961,935.6161759364876,774.550050294506,1003.5977163756879,727.2585439020188,1009.5091546747489,787.3581666091379
labeled-data,e3v816b-20220314T235522-000024_cropped,img4578.png,931.886794575847,696.134615227488,917.1101371468512,732.1896593542378,950.8009160849617,719.1862008167216,938.9795901417651,740.4645875144755,937.7974575474454,793.0694879617006,1000.4504850463877,735.1449908400369,1012.8628772867442,787.1588249901022
labeled-data,e3v816b-20220314T235522-000024_cropped,img4656.png,944.9026574456088,685.8855256347365,923.2982887294213,723.8391463523633,955.9967927322998,720.919637066392,939.6475407308606,732.5976742102772,933.8085221589179,783.3971357861777,1000.3733338790635,736.684987210637,1007.9640580225888,785.1488413577605
labeled-data,e3v816b-20220314T235522-000024_cropped,img5532.png,1010.0077046716638,694.6915537296222,986.6552126038762,693.8103276138567,1009.5670916137809,722.4501763762376,987.9770517775245,717.1628196816442,935.1034848315903,753.2930904280325,1012.6513830189604,766.0708691066333,1006.0421871507186,792.0670395217176
labeled-data,e3v816b-20220314T235522-000024_cropped,img5765.png,937.0212155527154,693.3436001722994,943.8775845997694,736.9750395626434,983.1458800510791,717.652544975491,970.0564482339757,736.9750395626434,938.2678281067251,770.0102722439037,1010.5713562392953,743.2081023326924,1001.8450683612264,792.4492982160807
labeled-data,e3v816b-20220314T235522-000024_cropped,img6105.png,931.3698694856711,680.0462204851954,932.6164820396809,730.5340289225935,973.7546963220052,716.1979845514804,956.9254268428726,733.6505603076181,936.3563197017104,767.9324055428883,1001.8034787872264,733.0272540306131,990.583965801138,796.6044942851145
labeled-data,e3v816b-20220314T235522-000024_cropped,img7306.png,918.1099257884971,702.6292517006804,937.225009838646,740.8594198009782,967.8091443188844,714.0983021307698,963.9861275088547,735.1248945859336,944.8710434587056,775.2665710912465,1002.2162956091527,729.390369370889,1002.2162956091527,786.7356215213358
labeled-data,e3v816b-20220314T235522-000024_cropped,img8030.png,920.021434193512,691.160201270591,937.225009838646,735.1248945859336,973.543669533929,702.6292517006804,965.8976359138696,735.1248945859336,944.8710434587056,769.5320458762018,1009.8623292292123,729.390369370889,998.3932787991228,788.6471299263508
labeled-data,e3v816b-20220314T235522-000024_cropped,img8487.png,930.166364471379,692.9769241348614,938.8174257298092,735.6554930097841,977.458832684131,710.8557840689506,963.6171346706426,729.3113814202685,942.8545876504099,773.7201625468773,1006.872440962794,731.6183310891832,996.4911674526777,794.48270956711
labeled-data,e3v816b-20220314T235522-000024_cropped,img8804.png,914.6465647602939,691.4510058887937,925.6618912073636,736.2466667735434,956.5048052591585,717.1534342652894,944.7551237156175,734.7779565806009,931.536731979134,779.5736174653505,993.9569151791951,725.9656954229451,988.816429503896,796.4637846841906
