scorer,,,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v813a-20220131T213604_cropped,img0040.png,220.7720228263805,890.5488434183993,232.35899958045732,872.9686028260069,190.8057036348025,873.7677046711157,210.7832497625212,857.3861168463864,248.34103648263223,803.446742301546,172.82591211985573,779.873237870838,218.37471729105428,749.5073677567057
labeled-data,e3v813a-20220131T213604_cropped,img0073.png,230.84726898135477,965.6075208072494,241.3602453169088,948.9902356316964,208.1256749658026,943.2250550605861,228.13424283024403,933.7294635316986,257.9775304924618,861.495142258376,186.0823374880281,859.7995009139318,226.77772975468872,820.4606217228265
labeled-data,e3v813a-20220131T213604_cropped,img0212.png,290.725374788773,692.4727551404998,274.5096382903871,717.6972341379891,317.75160228608297,706.43630601411,295.6801831632798,725.354665262227,262.79827304155276,787.5149885060398,341.62476990870675,780.7584316317123,303.7880514124728,822.6490842525427
labeled-data,e3v813a-20220131T213604_cropped,img0480.png,189.15390358073782,739.3099235695198,234.0751122556599,743.5881339195124,225.09087052067548,690.1105045446052,242.63153295564504,708.078988014574,293.970057155556,707.6511669795747,283.7023523155738,647.7562220796787,312.7941826955233,705.0842407695792
labeled-data,e3v813a-20220131T213604_cropped,img0924.png,672.5286028000486,266.28155028275467,701.0899339527205,298.2030380416233,719.906810947422,254.52100216106626,718.5627483049433,277.70608274382346,745.4440011545169,335.5007763704066,784.4218177863985,268.2976442464727,806.9348670479164,344.9092148677573
labeled-data,e3v813a-20220131T213604_cropped,img1775.png,585.7741001897516,233.3027770990319,547.6251221873985,201.67499191759384,530.3439612119736,251.5621169975941,524.8009473141958,212.4349600721037,483.06531326033934,172.32962422347606,473.93564331105824,246.99728202295356,431.5478899751103,232.65065781694042
labeled-data,e3v813a-20220131T213604_cropped,img2281.png,745.7566823942602,197.06274673331453,695.921826417023,176.91674112549524,700.1630907555112,226.3981584078584,683.9049107913062,201.65744976667682,638.3113191525573,179.39081198961338,648.2076026090299,253.61293791315816,598.3727466317928,230.28598405147267
labeled-data,e3v813a-20220131T213604_cropped,img2452.png,915.8309631875861,668.8353979491496,918.1717284980227,646.9882550517426,886.1812692553909,675.857693880459,889.3022896693062,649.7191479139185,869.4057845305963,572.8640202212545,810.8866517696846,619.6793264299838,811.276779321424,561.9404487725509
labeled-data,e3v813a-20220131T213604_cropped,img2847.png,852.4036291018815,691.9812698122745,875.7396645880524,731.2541100207086,900.7832148658945,697.1038141872876,896.5144278867168,721.0090212706823,910.1745462200852,771.66529342359,958.5541319840981,717.8785774859521,938.0639544840456,784.7562401597347
labeled-data,e3v813a-20220131T213604_cropped,img2901.png,695.8093454246118,654.0866918192368,730.1104151910722,687.7017401903679,743.8308430976564,644.4823922846278,746.9179393766378,670.2081946094731,790.4802979800425,715.4856067012007,809.6888970492602,641.0522853079818,836.7867421647638,689.0737829810263
labeled-data,e3v813a-20220131T213604_cropped,img3111.png,631.1195691531818,694.1802612787376,672.8751152461862,725.2069517784005,678.9644657180826,677.3620552134998,685.92372340025,701.7194571010856,719.5601355307256,747.5345701753541,740.1479395071374,664.3134470594359,766.2451558152651,712.4483126944269
labeled-data,e3v813a-20220131T213604_cropped,img3214.png,648.9619008097179,772.1505593270773,673.0480366127599,770.4543525803842,637.427694932205,742.2973205852788,661.5138307352469,746.0289754280037,732.0760313976796,738.5656657425541,693.7417589224156,663.2540861893808,749.0380988646104,680.2161536563117
labeled-data,e3v813a-20220131T213604_cropped,img3597.png,587.0936992341577,917.0065401077011,625.7144421821964,896.4560530344327,587.0936992341577,864.5673661966026,615.4391986455623,867.7562348803856,678.8622535785801,853.5834851746833,630.6749045791922,799.372717550372,687.7202221446439,792.2863426975209
labeled-data,e3v813a-20220131T213604_cropped,img4043.png,470.74944296055673,889.3405221139108,515.5963331312619,894.8026433526504,505.5345308493729,851.3931535079294,522.208374630789,869.5043976153296,559.5807831063767,904.2894855041458,555.2685821284242,830.9820688789546,594.078390929996,874.3915587236756
labeled-data,e3v813a-20220131T213604_cropped,img4483.png,472.691637183747,845.6585692001834,507.36471985235664,884.7048334666357,522.3584853306744,835.3503554338399,520.171894531753,859.0904841078429,550.1594254883885,908.4449621406387,567.652151879759,834.1008749773134,588.5809495265776,874.0842495861606
labeled-data,e3v813a-20220131T213604_cropped,img4993.png,520.5988138828786,909.1060614034038,568.9407061636318,901.7275620552888,537.9001226991481,861.7818931706664,563.0887928875406,872.9768576988408,612.9572712403176,889.2604424670945,572.7571713436912,821.3273622620362,625.9332528525197,832.2678957782066
labeled-data,e3v813a-20220131T213604_cropped,img5159.png,563.0429990747283,685.1844186043423,559.198263782224,736.7038715239005,603.0282461167735,717.8646685906292,584.957990242003,739.3951862286535,546.5106373169597,780.1493803291996,619.1761343452918,785.5320097387057,589.5716725930083,830.899886190257
labeled-data,e3v813a-20220131T213604_cropped,img6629.png,969.1493281723497,468.10651770638844,950.0217700921405,441.8530066159053,951.5219707258825,487.23407578659754,939.5203656559474,464.7310662804692,896.0145472774325,420.4751475850834,881.7626412568845,505.9865837083712,837.8817727199342,479.73307261788807
labeled-data,e3v813a-20220131T213604_cropped,img6858.png,974.2723088494316,469.65896150792867,951.6562188935237,449.30448054761155,948.640740232736,495.6674649572227,937.7096300873806,470.789766005724,882.6771445280046,428.57306475469596,873.6307085456415,501.69842227879815,838.9527039465827,480.5900716532841
labeled-data,e3v813a-20220131T213604_cropped,img7559.png,977.1005347664184,464.3397325372656,949.8198762571045,441.4239793894419,952.7298131647647,481.7993539832265,938.1801286264639,459.9748271757754,895.2585592384767,425.4193263973111,879.6176483598034,502.5326544503051,839.2422737660188,481.7993539832265
labeled-data,e3v813a-20220201T175829-182657_cropped,img0930.png,193.03753289394385,213.66898472982064,185.6571488716659,177.1025366194435,145.06503674913716,197.56632868121417,159.15486079166777,166.70290458805187,180.960540857489,131.4783444817253,119.23369267116433,178.44442462349406,114.8725566580001,137.18136849894006
labeled-data,e3v813a-20220201T175829-182657_cropped,img1891.png,171.37456412509272,201.96561049943728,179.6115702479339,160.78057988523108,134.30803657230723,178.62742648472044,146.66354575656902,153.91640811619675,179.6115702479339,134.69672716290063,116.46118997281798,149.79790505477615,135.6808709261141,115.4770462096044
labeled-data,e3v813a-20220201T175829-182657_cropped,img2418.png,132.7387956122895,205.2233074836528,159.9572598742247,217.89397188145023,137.9009181447255,182.22839802098343,162.30367920715014,193.02192695244048,212.51705293175462,194.89906241878083,168.87365333934133,137.1771468288149,229.88055599540291,131.54574042979385
labeled-data,e3v813a-20220201T175829-182657_cropped,img3518.png,165.97541648888512,228.79051710265645,193.4351190436833,223.24015169264405,157.79593062149837,208.63392692945354,179.41314327102037,202.2071880336497,217.68145215057956,156.34364227723142,144.65032833462692,149.9169033814276,161.0093000694003,121.28870284557416
labeled-data,e3v813a-20220201T175829-182657_cropped,img4068.png,168.13639142286874,128.1881557149397,157.95915094271018,147.41183217746143,195.6526342025567,133.46524337131822,180.19830606601963,153.81972433163534,182.08298022901195,210.3599492214051,234.85385679279705,161.7353558162031,232.2153129646078,208.85220989101123
labeled-data,e3v813a-20220201T175829-182657_cropped,img4270.png,201.2809271198605,244.70674118305968,218.19776240687963,229.78012181216044,179.056849389855,232.102040380967,197.963900592994,217.83882631544108,229.80735525091234,172.72726555005676,153.18404248029634,180.02472390916304,179.38855204254165,127.61570478467243
