scorer,,,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,BTeubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner,Bteubner
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,e3v813a-20220131T213604_cropped,img0040.png,,,,,,,,,,,,,,,220.7720228263805,890.5488434183993,232.35899958045732,872.9686028260069,190.8057036348025,873.7677046711157,210.7832497625212,857.3861168463864,248.34103648263223,803.446742301546,172.82591211985573,779.873237870838,218.37471729105428,749.5073677567057
labeled-data,e3v813a-20220131T213604_cropped,img0040.png,,,,,,,,,,,,,,,220.7720228263805,890.5488434183993,232.35899958045732,872.9686028260069,190.8057036348025,873.7677046711157,210.7832497625212,857.3861168463864,248.34103648263223,803.446742301546,172.82591211985573,779.873237870838,218.37471729105428,749.5073677567057
labeled-data,e3v813a-20220131T213604_cropped,img0073.png,,,,,,,,,,,,,,,230.84726898135477,965.6075208072494,241.3602453169088,948.9902356316964,208.1256749658026,943.2250550605861,228.13424283024403,933.7294635316986,257.9775304924618,861.495142258376,186.0823374880281,859.7995009139318,226.77772975468872,820.4606217228265
labeled-data,e3v813a-20220131T213604_cropped,img0073.png,,,,,,,,,,,,,,,230.84726898135477,965.6075208072494,241.3602453169088,948.9902356316964,208.1256749658026,943.2250550605861,228.13424283024403,933.7294635316986,257.9775304924618,861.495142258376,186.0823374880281,859.7995009139318,226.77772975468872,820.4606217228265
labeled-data,e3v813a-20220131T213604_cropped,img0212.png,,,,,,,,,,,,,,,290.725374788773,692.4727551404998,274.5096382903871,717.6972341379891,317.75160228608297,706.43630601411,295.6801831632798,725.354665262227,262.79827304155276,787.5149885060398,341.62476990870675,780.7584316317123,303.7880514124728,822.6490842525427
labeled-data,e3v813a-20220131T213604_cropped,img0212.png,,,,,,,,,,,,,,,290.725374788773,692.4727551404998,274.5096382903871,717.6972341379891,317.75160228608297,706.43630601411,295.6801831632798,725.354665262227,262.79827304155276,787.5149885060398,341.62476990870675,780.7584316317123,303.7880514124728,822.6490842525427
labeled-data,e3v813a-20220131T213604_cropped,img0480.png,,,,,,,,,,,,,,,189.15390358073782,739.3099235695198,234.0751122556599,743.5881339195124,225.09087052067548,690.1105045446052,242.63153295564504,708.078988014574,293.970057155556,707.6511669795747,283.7023523155738,647.7562220796787,312.7941826955233,705.0842407695792
labeled-data,e3v813a-20220131T213604_cropped,img0480.png,,,,,,,,,,,,,,,189.15390358073782,739.3099235695198,234.0751122556599,743.5881339195124,225.09087052067548,690.1105045446052,242.63153295564504,708.078988014574,293.970057155556,707.6511669795747,283.7023523155738,647.7562220796787,312.7941826955233,705.0842407695792
labeled-data,e3v813a-20220131T213604_cropped,img0924.png,,,,,,,,,,,,,,,672.5286028000486,266.28155028275467,701.0899339527205,298.2030380416233,719.906810947422,254.52100216106626,718.5627483049433,277.70608274382346,745.4440011545169,335.5007763704066,784.4218177863985,268.2976442464727,806.9348670479164,344.9092148677573
labeled-data,e3v813a-20220131T213604_cropped,img0924.png,,,,,,,,,,,,,,,672.5286028000486,266.28155028275467,701.0899339527205,298.2030380416233,719.906810947422,254.52100216106626,718.5627483049433,277.70608274382346,745.4440011545169,335.5007763704066,784.4218177863985,268.2976442464727,806.9348670479164,344.9092148677573
labeled-data,e3v813a-20220131T213604_cropped,img1775.png,,,,,,,,,,,,,,,585.7741001897516,233.3027770990319,547.6251221873985,201.67499191759384,530.3439612119736,251.5621169975941,524.8009473141958,212.4349600721037,483.06531326033934,172.32962422347606,473.93564331105824,246.99728202295356,431.5478899751103,232.65065781694042
labeled-data,e3v813a-20220131T213604_cropped,img1775.png,,,,,,,,,,,,,,,585.7741001897516,233.3027770990319,547.6251221873985,201.67499191759384,530.3439612119736,251.5621169975941,524.8009473141958,212.4349600721037,483.06531326033934,172.32962422347606,473.93564331105824,246.99728202295356,431.5478899751103,232.65065781694042
labeled-data,e3v813a-20220131T213604_cropped,img2281.png,,,,,,,,,,,,,,,745.7566823942602,197.06274673331453,695.921826417023,176.91674112549524,700.1630907555112,226.3981584078584,683.9049107913062,201.65744976667682,638.3113191525573,179.39081198961338,648.2076026090299,253.61293791315816,598.3727466317928,230.28598405147267
