scorer,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett
individuals,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile,juvenile
bodyparts,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c0.png,,,,,,,,,,,,,13.657827326438166,2.44896090124098,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c1.png,,,,,,,,,,,,,,,371.7312046384156,119.46073597664281,346.9415722135764,145.90301056313797,375.0364889617276,154.1662213714177,360.162709506824,177.30321163460098,328.762508435361,248.36682458580663,379.9944154466954,236.79832945421504,348.5942143752324,284.7249521422375
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c2.png,381.16371486413914,136.26889176571058,339.8476608227404,137.92153392736645,372.9005040558593,164.3638085138616,349.7635137926761,159.40588202889376,262.1734792249108,265.1749803748744,326.6265235294927,288.3119706380577,283.65782732643817,311.448960901241,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c3.png,240.16371486413914,118.26889176571058,198.8476608227404,119.92153392736645,231.9005040558593,146.3638085138616,208.76351379267612,141.40588202889376,121.1734792249108,247.1749803748744,185.62652352949272,270.3119706380577,142.65782732643817,293.448960901241,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c4.png,312.16371486413914,104.26889176571058,270.8476608227404,105.92153392736645,303.9005040558593,132.3638085138616,280.7635137926761,127.40588202889376,193.1734792249108,233.1749803748744,257.6265235294927,256.3119706380577,214.65782732643817,279.448960901241,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c5.png,92.16371486413914,168.26889176571058,50.84766082274041,169.92153392736645,83.9005040558593,196.3638085138616,60.76351379267612,191.40588202889376,,,37.626523529492715,320.3119706380577,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00173c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c0.png,35.01595488286898,93.60849595791285,61.45822946936414,52.29244191651412,10.226322458029756,45.68187326989039,39.97388136783684,22.544883006707096,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c1.png,321.015954882869,89.60849595791285,347.45822946936414,48.29244191651412,296.22632245802976,41.68187326989039,325.97388136783684,18.544883006707096,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c2.png,,,,,,,,,20.068798115987875,316.0389954690062,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c3.png,,,5.4582294693641416,396.2924419165141,,,,,12.068798115987875,269.0389954690062,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c8.png,191.01595488286898,194.60849595791285,217.45822946936414,153.29244191651412,166.22632245802976,146.6818732698904,195.97388136783684,123.5448830067071,224.06879811598787,26.03899546900618,161.2683959730619,21.081068984038325,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00246c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c0.png,,,,,,,,,,,,,,,289.6588326837532,99.1534409387009,281.39562187547335,54.53210257399019,249.99542080401034,77.6690928371736,246.69013648069858,46.26889176571058,202.06879811598787,6.605479885967668,185.54237649942843,57.83738689730217,144.22632245802976,19.826617179215447
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c1.png,,,,,,,,,,,,,,,100.65883268375319,56.153440938700896,92.39562187547335,11.532102573990187,60.99542080401034,34.669092837173594,57.690136480698584,3.2688917657105776,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c3.png,,,,,,,,,,,,,,,116.65883268375319,148.1534409387009,108.39562187547335,103.53210257399019,76.99542080401034,126.6690928371736,73.69013648069858,95.26889176571058,29.068798115987875,55.60547988596767,12.542376499428428,106.83738689730217,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c6.png,,,,,383.1950186610843,369.18977152222124,391.45822946936414,334.48428612744647,365.015954882869,253.50482020630477,292.2996997700073,281.59973695445603,298.910268416631,220.451976973186,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00287c9.png,,,,,,,,,,,,,,,137.6588326837532,161.1534409387009,129.39562187547335,116.53210257399019,97.99542080401034,139.6690928371736,94.69013648069858,108.26889176571058,50.068798115987875,68.60547988596767,33.54237649942843,119.83738689730217,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c0.png,,,,,,,,,24.248867251518277,279.6946537026072,,,52.34378399966954,213.58896723636917,212.65007368029637,301.1790018041345,260.57669636831884,312.7474969357261,252.313485560039,274.7367272176392,275.4504758232224,292.91579099585476,344.86144661277217,292.91579099585476,329.9876671578686,236.72595749955258,382.8722163308589,263.1682320860476
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c1.png,,,,,,,,,,,,,140.34378399966954,389.5889672363692,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c2.png,,,,,,,,,,,,,,,,,,,,,,,29.86144661277217,358.91579099585476,14.9876671578686,302.7259574995526,67.87221633085892,329.1682320860476
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c5.png,213.9846510859236,370.05278125903806,273.47976890553764,378.3159920673179,255.30070512732232,335.3472958642632,286.70090619878533,336.99993802591905,379.2488672515183,333.6946537026072,341.2380975334315,279.15746236796076,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c6.png,,,,,,,,,,,244.23809753343153,386.15746236796076,310.34378399966954,374.5889672363692,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00540c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c0.png,,,,,,,,,,,,,,,276.9348239247496,62.784543664183275,305.02974067290074,84.26889176571058,323.2088044511163,44.60547988596767,333.124657421052,69.39511231080701,359.56693200754717,118.97437716048535,389.3144909173541,80.9636074423986,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c1.png,,,360.30271584195225,129.9147856385398,398.313485560039,158.00970238669083,373.52385313520006,159.66234454834682,280.97589208246677,205.93632507471318,328.90251477048923,257.1682320860476,267.7547547892193,285.2631488341988,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c2.png,11.534622853286805,136.7777953753565,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c7.png,92.5346228532868,203.7777953753565,41.30271584195225,226.9147856385398,79.313485560039,255.00970238669083,54.523853135200056,256.6623445483468,,,9.902514770489233,354.1682320860476,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00683c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c0.png,57.06779275867291,192.64755340099987,86.81535166847999,220.74247014915116,104.99441544669543,179.4264161077524,111.60498409331922,209.17397501755957,192.58445001446057,268.6690928371736,219.02672460095573,210.82661717921545,261.99542080401034,257.100597705582,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c1.png,,,,,,,,,63.58445001446057,248.6690928371736,90.02672460095573,190.82661717921545,132.99542080401034,237.100597705582,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c2.png,302.0677927586729,185.64755340099987,331.81535166848,213.74247014915116,349.9944154466954,172.4264161077524,356.6049840933192,202.17397501755957,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c3.png,,,,,,,,,22.58445001446057,283.6690928371736,49.02672460095573,225.82661717921545,91.99542080401034,272.100597705582,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c7.png,,,,,,,,,,,11.026724600955731,38.82661717921545,53.99542080401034,85.100597705582,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img00860c9.png,,,,,,,,,,,,,39.99542080401034,3.100597705582004,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c0.png,78.73522606767551,297.0107077440059,55.59823580449233,268.91579099585476,48.9876671578686,311.8844871989097,29.155961217997174,282.13692828910234,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c1.png,,,,,,,,,,,,,,,148.4201773835921,238.72294142760762,183.12566277836686,199.0595295478647,140.15696657531248,204.01745603283257,163.29395683849566,172.6172549613696,186.43094710167884,127.99591659665907,133.5463979286883,123.03799011169122,156.6833881918717,75.11136742366875
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c2.png,,,234.59823580449233,385.91579099585476,,,208.15596121799717,399.13692828910234,104.03950503367264,375.99993802591905,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c8.png,272.7352260676755,253.0107077440059,249.59823580449233,224.91579099585476,242.9876671578686,267.8844871989097,223.15596121799717,238.13692828910234,119.03950503367264,214.99993802591905,128.95535800360835,277.8003401688452,71.11288234565018,259.62127639062965,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01189c9.png,,,,,,,,,393.03950503367264,242.99993802591905,,,345.1128823456502,287.62127639062965,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c0.png,382.7095055531613,388.31185254591,362.25262195568484,378.57047940425457,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c1.png,151.7095055531613,260.31185254591,131.25262195568484,250.57047940425457,144.8905443540025,280.7687361433864,121.99831747111216,272.48856897297935,39.19664576704076,272.975637630062,45.04146965203404,336.2945630508227,,,187.75258617728673,384.02729144493446,184.8301742347901,337.75576902207104,149.27416226774767,346.52300484956095,155.11898615274094,325.09198393791894,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c2.png,323.7095055531613,362.31185254591,303.25262195568484,352.57047940425457,316.8905443540025,382.7687361433864,293.99831747111216,374.48856897297935,211.19664576704076,374.975637630062,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c6.png,271.7095055531613,375.31185254591,251.25262195568484,365.57047940425457,264.8905443540025,395.7687361433864,241.99831747111216,387.48856897297935,159.19664576704076,387.975637630062,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01251c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c0.png,248.56291057828702,296.6095013152278,276.65782732643817,354.451976973186,311.3633127212131,313.13592293178726,311.3633127212131,346.1887661649064,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c1.png,389.562910578287,309.6095013152278,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c2.png,395.562910578287,317.6095013152278,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c4.png,,,,,,,,,,,4.60598945063407,219.7151877814656,21.132411067193516,279.21030560108,,,,,389.67161311647,366.8003401688452,391.324255278126,332.0948547740702,386.366328793158,295.7367272176392,333.4817796201678,322.1790018041345,338.43970610513566,261.03124182286444
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c8.png,,,,,,,,,,,9.60598945063407,336.7151877814656,26.132411067193516,396.21030560108,,,,,,,,,,,,,343.43970610513566,378.03124182286444
labeled-data/e3v813a-20210714T095950-100613_cropped/img01571c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c0.png,116.62652352949272,172.75525058186793,85.22632245802976,225.63979975485825,136.45822946936414,237.20829488644983,110.01595488286898,260.3452851496331,63.74197435650245,329.7562559391829,131.50030298439628,336.3668245858066,93.48953326630948,394.2093002437648,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c1.png,229.62652352949272,203.75525058186793,198.22632245802976,256.63979975485825,249.45822946936414,268.20829488644983,223.01595488286898,291.3452851496331,176.74197435650245,360.7562559391829,244.50030298439628,367.3668245858066,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c2.png,,,,,,,,,30.741974356502453,56.75625593918289,98.50030298439628,63.366824585806626,60.48953326630948,121.2093002437648,,,,,,,0.9944154466954274,360.8424136838771,47.2683959730619,364.1476980071891,42.3104694880941,311.2631488341988,96.84766082274041,337.70542342069393
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c6.png,,,,,,,,,,,,,211.48953326630948,32.2093002437648,99.109866273705,281.7582666538128,132.162709506824,299.9373304320284,123.89949869854428,255.3159920673179,151.99441544669543,271.8424136838771,198.2683959730619,275.1476980071891,193.3104694880941,222.26314883419877,247.8476608227404,248.70542342069393
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01655c9.png,,,,,,,,,35.74197435650245,67.75625593918289,103.50030298439628,74.36682458580663,65.48953326630948,132.2093002437648,,,,,,,5.994415446695427,371.8424136838771,52.2683959730619,375.1476980071891,47.3104694880941,322.2631488341988,101.84766082274041,348.70542342069393
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c0.png,130.99542080401034,197.90099984850792,101.24786189420342,207.8168528184437,145.8692002589139,230.95384308162693,107.85843054082716,244.1749803748744,61.58445001446057,328.4597306193277,127.69013648069858,330.1123727809837,92.98465108592359,392.91277492390975,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c1.png,,,,,,,,,,,,,,,321.4259203151037,334.7229414276076,301.5942143752324,362.8178581757586,344.562910578287,371.0810689840383,321.4259203151037,385.9548484389419,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c2.png,,,,,,,,,,,9.690136480698584,95.11237278098372,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c3.png,,,,,,,337.85843054082716,3.1749803748743943,291.5844500144606,87.45973061932767,357.6901364806986,89.11237278098372,322.9846510859236,151.91277492390975,192.42592031510372,95.72294142760762,172.5942143752324,123.8178581757586,215.56291057828702,132.08106898403832,192.42592031510372,146.9548484389419,157.72043492032878,198.18675545027622,208.95234193166323,209.75525058186793,175.89949869854428,252.72394678492253
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01696c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c0.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c3.png,,,,,,,,,,,,,108.02672460095573,0.9225392846815339,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c7.png,85.63628789026455,82.76400958532463,110.42592031510372,124.08006362672336,141.82612138656663,77.80608310035677,146.7840478715346,105.90099984850792,168.2683959730619,170.35404415308977,212.88973433777255,124.08006362672336,236.02672460095573,181.92253928468153,,,,,,,,,103.81535166847999,24.921533927366454,,,161.65782732643817,51.36380851386161
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img01731c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img02096c0.png,,,356.6628541130133,87.20527881450471,374.8419178912286,128.52133285590344,351.7049276280454,116.95283772431185,287.2518833234635,123.56340637093561,330.2205795265179,166.5321025739902,290.55716764677527,189.6690928371736,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img02096c1.png,,,,,,,,,,,,,,,326.8045819503931,306.5478990786521,369.7732781534479,293.3267617854044,354.8994986985443,265.2318450372534,381.3417732850394,270.18977152222124,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img02096c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/e3v813a-20210714T095950-100613_cropped/img02096c3.png,142.24211896269162,195.81584746112867,92.66285411301328,189.2052788145047,110.8419178912286,230.52133285590344,87.70492762804543,218.95283772431185,23.251883323463517,225.5634063709356,66.2205795265179,268.5321025739902,26.55716764677527,291.6690928371736,,,,,,,,,,,,,,
