scorer,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett,Brett
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,nose,nose,leftear,leftear,rightear,rightear,neck,neck,lefthip,lefthip,righthip,righthip,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/output000/img0042.png,277.845,898.761,244.638,923.226,293.252,948.207,253.767,949.287,196.028,973.155,253.579,1013.567,194.312,1029.735
labeled-data/output000/img0077.png,218.80583341766462,739.4766668353292,204.38,780.049,251.904,764.679,229.564,789.044,203.979,854.902,291.217,844.592,256.813,905.723
labeled-data/output000/img0134.png,210.663,512.34,185.36,539.628,243.326,545.311,211.83,560.418,178.654,626.215,258.683,603.248,226.895,661.742
labeled-data/output000/img0152.png,160.102,458.892,169.814,502.347,216.771,467.641,198.823,500.402,172.105,555.094,252.025,525.659,220.987,593.677
labeled-data/output000/img0209.png,160.805,416.759,137.921,440.812,188.671,438.359,163.737,455.397,130.53,513.853,218.638,498.752,197.495,558.058
labeled-data/output000/img0225.png,195.643,333.545,167.372,358.635,216.905,369.983,189.487,379.492,134.491,436.107,220.398,443.943,170.742,493.28
labeled-data/output000/img0352.png,636.095,387.607,610.96,357.998,609.887,418.399,580.649,381.726,547.691,347.9,525.957,418.96,477.115,384.068
labeled-data/output000/img0357.png,685.531,412.065,665.635,380.837,644.619,430.217,629.654,387.982,587.43,355.742,579.668,419.959,532.237,390.724
labeled-data/output000/img0424.png,889.777,613.834,901.767,584.37,852.722,609.828,868.968,579.682,883.753,531.037,809.99,546.328,791.502,491.482
labeled-data/output000/img0685.png,734.514,1047.954,780.295,1020.603,730.92,1003.967,756.677,995.719,819.997,940.072,747.148,933.827,787.08,889.383
labeled-data/output000/img0904.png,464.45,1143.61,501.236,1156.622,485.115,1112.397,506.351,1125.59,589.4227244785253,1111.2283386694269,554.796,1061.09,610.041,1067.108
labeled-data/output000/img0960.png,807.49,1131.752,788.106,1106.834,777.931,1148.071,763.28,1126.427,707.622,1083.54,700.86,1150.51,652.899,1099.291
labeled-data/output000/img1168.png,806.676,965.497,767.305,995.546,819.926,1019.473,782.347,1018.684,734.299,1020.678,803.309,1066.827,710.694,1056.263
labeled-data/output000/img1223.png,855.02,731.504,819.842,740.813,852.82,778.243,820.777,772.15,755.462,795.52,804.651,842.368,759.157,859.456
labeled-data/output000/img1638.png,859.274,418.812,866.896,428.914,875.644,401.544,891.791,418.272,924.645,444.925,930.982,382.281,972.829,419.639
labeled-data/output000/img2076.png,970.207,700.353,962.806,677.327,884.296,660.308,938.78,681.635,952.402,594.359,889.895,606.566,902.107,551.281
labeled-data/output000/img2304.png,980.183,766.671,979.885,717.324,984.785,708.701,955.691,715.49,955.422,625.844,899.463,627.771,905.993,567.121
labeled-data/output000/img2361.png,794.815,570.541,822.92,601.051,842.327,556.944,852.404,581.283,931.456,605.198,916.421,618.504,924.858,536.495
labeled-data/output000/img2400.png,341.386,375.812,374.909,389.382,380.324,341.571,397.779,363.286,446.724,396.498,450.132,329.825,510.33,373.216
labeled-data/output000/img2441.png,135.666,365.023,159.01,381.305,163.087,339.163,177.505,359.559,221.364,404.434,228.06,326.545,280.818,367.726
labeled-data/output000/img2459.png,104.842,462.586,143.868,447.041,117.262,412.599,144.969,418.937,219.219,402.181,163.835,346.896,219.827,348.234
labeled-data/output000/img2711.png,282.292,512.582,246.273,484.49,236.136,534.198,222.002,502.05,179.875,459.962,164.374,516.575,,
labeled-data/output000/img2785.png,279.955,489.68,234.136,470.308,236.834,524.941,212.979,492.069,155.984,468.409,163.886,531.268,,
labeled-data/output000/img2815.png,204.201,372.37,182.624,401.444,230.31,395.912,207.586,411.374,165.73,466.124,251.859,467.99,212.611,517.985
labeled-data/output000/img2829.png,245.842,293.537,207.46,330.242,261.695,341.524,228.831,355.335,175.287,389.777,257.486,404.671,205.185,446.179
labeled-data/output000/img2896.png,391.01,296.712,356.0,305.584,385.827,347.665,349.665,332.086,276.066,322.997,322.688,379.34,254.607,367.51
labeled-data/output000/img2992.png,563.098,289.585,518.933,297.364,538.402,346.098,515.016,328.559,449.493,295.287,465.936,367.456,408.201,356.24
labeled-data/output000/img3055.png,887.111,414.967,853.297,390.626,858.272,442.791,834.66,412.781,779.309,371.731,771.074,442.294,717.748,410.441
labeled-data/output000/img3060.png,927.966,438.202,905.673,406.304,889.454,453.057,876.611,418.517,827.58,372.216,819.581,436.999,770.632,408.256
labeled-data/output000/img3072.png,984.121,484.817,962.108,437.765,940.054,492.82,932.786,453.487,932.336,413.505,873.707,460.854,835.489,419.455
labeled-data/output000/img3211.png,969.994,685.816,975.793,633.563,925.741,644.316,963.684,620.079,971.143,545.976,912.048,585.308,899.203,533.102
labeled-data/output000/img3556.png,601.995,328.434,634.887,354.849,651.739,315.961,662.477,339.98,703.834,389.571,730.739,318.424,759.037,365.475
labeled-data/output000/img3652.png,538.786,353.866,579.266,363.034,578.566,318.337,599.207,338.872,652.889,375.538,675.874,317.071,695.536,386.354
labeled-data/output000/img3749.png,109.315,305.485,129.07,343.804,158.675,301.192,162.605,330.726,173.383,394.913,213.151,336.457,234.861,386.383
labeled-data/output000/img3949.png,338.623,428.009,314.566,373.243,286.96,434.272,279.801,396.133,228.899,362.685,235.217,421.212,207.515,387.455
labeled-data/output000/img4023.png,187.769,474.851,224.552,454.227,198.394,426.311,221.142,427.213,275.612,427.927,237.529,372.691,281.189,358.467
labeled-data/output000/img4084.png,158.012,766.547,178.871,721.302,130.594,715.112,158.074,699.809,193.963,653.112,131.711,644.389,161.117,593.083
labeled-data/output000/img4088.png,172.575,787.725,180.378,752.892,133.992,754.718,161.379,738.7,194.801,688.729,124.351,682.454,164.153,621.802
labeled-data/output000/img4115.png,163.876,972.948,180.76,928.901,133.617,929.395,161.914,914.247,197.209,865.567,124.883,842.708,163.276,806.588
labeled-data/output000/img4397.png,330.972,1155.85,298.962,1124.222,275.71,1166.524,277.329,1131.303,307.49,1093.874,243.131,1117.075,262.735,1059.603
labeled-data/output000/img4648.png,418.15,949.579,365.803,978.381,412.649,1010.719,378.107,1010.601,327.112,1019.787,403.643,1047.881,324.742,1065.225
labeled-data/output000/img5294.png,379.06822557621587,951.6460571739367,381.482,948.339,341.354,924.679,370.092,915.179,427.975,914.027,394.414,852.234,459.842,870.977
labeled-data/output000/img5359.png,564.974,1045.421,532.43,1021.633,520.834,1075.171,508.234,1044.289,485.31,988.962,450.932,1052.227,431.384,987.344
labeled-data/output000/img5408.png,792.947,893.518,743.777,901.518,788.675,944.408,753.773,933.403,695.26,934.066,732.845,996.552,681.566,996.541
labeled-data/output000/img6503.png,907.169,686.432,876.197,704.908,915.583,722.262,882.569,723.963,837.297,739.585,916.424,762.447,837.83,795.349
labeled-data/output000/img6805.png,914.625,700.06,880.826,696.266,916.341,721.052,887.457,721.554,821.809,754.696,883.21,790.75,835.71,795.614
labeled-data/output000/img8088.png,721.557,722.327,741.827,738.954,741.749,700.867,756.929,717.482,819.074,747.669,787.217,676.598,851.243,732.502
labeled-data/output000/img8273.png,836.886,816.992,871.481,788.187,819.484,778.294,851.744,763.747,885.303,738.569,808.982,723.741,803.201,676.861
labeled-data/output000/img8749.png,957.039,626.905,926.235,620.802,958.754,651.588,930.207,648.962,869.761,683.937,,,877.967,737.26
labeled-data/output000/img8943.png,904.73,448.552,880.675,469.957,937.207,476.018,905.904,489.81,868.41,543.985,956.907,530.404,917.677,581.63
